"","name"
"625","NUPR1"
"626","ZNF367"
"627","SAFB"
"628","STK35"
"629","CUL4B"
"630","SUPV3L1"
"631","HADHA"
"632","WDR12"
"633","XPO6"
"634","PTPN23"
"635","SEMA4C"
"636","RFC1"
"637","ITGA5"
"638","NCKAP5L"
"639","POLR3K"
"640","DDIT4"
"641","POGK"
"642","ANKS1A"
"643","CD151"
"644","FSCN1"
"645","CDK17"
"646","KIAA0430"
"647","MTFR1L"
"648","RPLP0"
"649","CDC20"
"650","GIT1"
"651","PPIL3"
"652","TPI1"
"653","ZNF664"
"654","DCAF10"
"655","GPM6B"
"656","MARCKSL1"
"657","TMX4"
"658","DHX8"
"659","RYBP"
"660","MAN2B1"
"661","ASXL2"
"662","RAB8A"
"663","HYOU1"
"664","MAP3K6"
"665","ETV1"
"666","ACTG1"
"667","SLC2A1"
"668","RSF1"
"669","MMD"
"670","RPIA"
"671","GID8"
"672","USP42"
"673","RGP1"
"674","SLC5A6"
"675","WDR13"
"676","ATP13A2"
"677","EIF2B2"
"678","RNPS1"
"679","BUB1"
"680","CEBPB"
"681","THAP11"
"682","KREMEN1"
"683","ERAP1"
"684","C12orf10"
"685","TIAM1"
"686","GULP1"
"687","MCAM"
"688","FKBP10"
"689","IRF3"
"690","HTRA1"
"691","ATXN1"
"692","SUOX"
"693","POLRMT"
"694","IRGQ"
"695","RPL26"
"696","PCYOX1"
"697","DCTN6"
"698","CAMK4"
"699","RBFOX2"
"700","TSNAX"
"701","LOXL2"
"702","FXR2"
"703","B4GALT5"
"704","POU2F1"
"705","HP1BP3"
"706","ARHGAP1"
"707","PRPF38A"
"708","RAP1A"
"709","SDHC"
"710","TOE1"
"711","EIF3B"
"712","ABCB8"
"713","DHX9"
"714","HFE"
"715","ACAT2"
"716","AGRN"
"717","ISG15"
"718","MLF2"
"719","GTF2E2"
"720","EIF5"
"721","MOXD1"
"722","RB1CC1"
"723","NGFR"
"724","RRP8"
"725","CRIM1"
"726","NT5C2"
"727","PTEN"
"728","MARCH5"
"729","FAM131A"
"730","SIKE1"
"731","UTP18"
"732","AKT1"
"733","RPS21"
"734","ISCU"
"735","OVCA2"
"736","GCN1L1"
"737","PSMD2"
"738","ASF1B"
"739","GOT2"
"740","SLC25A28"
"741","PCGF3"
"742","TMTC1"
"743","AMOTL1"
"744","KIF22"
"745","NDUFAF3"
"746","FOXM1"
"747","TSC1"
"748","UBN1"
"749","GFPT1"
"750","AKAP9"
"751","ARID1A"
"752","IRF2"
"753","ANAPC1"
"754","LYPLAL1"
"755","PMEPA1"
"756","COL6A2"
"757","CHEK1"
"758","BHLHE41"
"759","DCTN1"
"760","PPP2R2A"
"761","VAPA"
"762","CMPK1"
"763","ZNF226"
"764","POLR2E"
"765","NTMT1"
"766","AP2A2"
"767","PIGP"
"768","NAMPT"
"769","NUDCD2"
"770","SCARB2"
"771","BCL2A1"
"772","OAF"
"773","FECH"
"774","ZFP36L1"
"775","OSBPL2"
"776","CYTH1"
"777","SCLY"
"778","MTFR1"
"779","ARRB1"
"780","TXLNG"
"781","TRIM28"
"782","EZH2"
"783","RND3"
"784","BRPF1"
"785","HCCS"
"786","DPM1"
"787","TMSB4X"
"788","SNX1"
"789","TNFRSF1B"
"790","PAIP2"
"791","PTRH2"
"792","RANBP2"
"793","KIF23"
"794","DIMT1"
"795","TRIB3"
"796","NOC2L"
"797","GTF3C5"
"798","CHD8"
"799","MLEC"
"800","PCBP2"
"801","EXOSC10"
"802","RPN2"
"803","RRM2"
"804","GRPEL2"
"805","KDM1A"
"806","PACSIN2"
"807","P2RX7"
"808","HEATR1"
"809","MICA"
"810","TMEM55B"
"811","CBL"
"812","C21orf91"
"813","BMI1"
"814","ZDHHC5"
"815","NRF1"
"816","SRSF1"
"817","CCNL2"
"818","CNOT11"
"819","FAM8A1"
"820","RAD17"
"821","SNRNP27"
"822","CXorf56"
"823","ELAC2"
"824","NSMCE4A"
"825","TRPV2"
"826","SLC25A10"
"827","PIGQ"
"828","SERGEF"
"829","DYRK2"
"830","ZNF217"
"831","EMD"
"832","RNF125"
"833","CAPN1"
"834","GLRX2"
"835","ADAM10"
"836","PPP1R2"
"837","LSM6"
"838","TMEM245"
"839","ALKBH5"
"840","MPP6"
"841","FAT1"
"842","TFG"
"843","CAPN5"
"844","LPCAT1"
"845","TMEM183A"
"846","CDKN2A"
"847","PDXP"
"848","MRGBP"
"849","NLE1"
"850","DDX18"
"851","HLCS"
"852","EEF1A2"
"853","HMGB2"
"854","ATL2"
"855","KDELR1"
"856","PTGFRN"
"857","EFTUD2"
"858","DCTN5"
"859","GTPBP3"
"860","DRAP1"
"861","TPRKB"
"862","RPL39"
"863","ERO1L"
"864","AGFG1"
"865","PTBP1"
"866","POLG"
"867","RECQL"
"868","MRPL32"
"869","TSC2"
"870","STK17B"
"871","SMAD4"
"872","SLC11A2"
"873","SNX10"
"874","DIP2C"
"875","DYRK3"
"876","PI4K2A"
"877","KLHL20"
"878","HECTD3"
"879","ZSWIM7"
"880","OBSL1"
"881","PCYT1A"
"882","KATNAL1"
"883","RPS3A"
"884","VPS36"
"885","LRRC42"
"886","C9orf41"
"887","DNAJB4"
"888","AKAP8L"
"889","WBP11"
"890","JMJD1C"
"891","SRSF2"
"892","TICAM1"
"893","CHD1"
"894","TUBB3"
"895","STRIP2"
"896","ID2"
"897","ATXN7L3B"
"898","UBE2Q1"
"899","MDH2"
"900","SLC1A4"
"901","PTPN14"
"902","BAG2"
"903","SCAF11"
"904","DTYMK"
"905","TMEM70"
"906","SDAD1"
"907","TCFL5"
"908","CREM"
"909","POLR2H"
"910","YWHAB"
"911","UQCRB"
"912","NECAP2"
"913","TOB2"
"914","PMPCA"
"915","CYGB"
"916","NOL12"
"917","TP53BP1"
"918","PPAP2B"
"919","IFT172"
"920","CBFB"
"921","PCBP1"
"922","PQBP1"
"923","OXR1"
"924","PTAR1"
"925","SLC25A15"
"926","SMARCC2"
"927","FN3K"
"928","EPB41L1"
"929","BNIP3"
"930","SEMA6A"
"931","RB1"
"932","RPL7A"
"933","CHCHD2"
"934","TOR1A"
"935","STK40"
"936","TMED7"
"937","DRAM1"
"938","SGPP1"
"939","SNAP23"
"940","TPD52L2"
"941","GDI2"
"942","KCTD5"
"943","MIR146A"
"944","NOL6"
"945","MED16"
"946","MGAT5"
"947","WDTC1"
"948","PPP1CB"
"949","PCGF5"
"950","UBA3"
"951","ARHGEF39"
"952","KMT2E"
"953","FAM98B"
"954","IL17RA"
"955","AFAP1"
"956","EHD2"
"957","FLOT2"
"958","KDM4A"
"959","ZBTB18"
"960","STAT6"
"961","GABPA"
"962","NAA50"
"963","HSD17B12"
"964","BTN3A3"
"965","TUBB"
"966","IGF2BP3"
"967","TGFBI"
"968","UTP15"
"969","C12orf65"
"970","STX5"
"971","CRTC2"
"972","SRPRB"
"973","UPF2"
"974","COX7C"
"975","TGFBR2"
"976","DDB2"
"977","NEIL2"
"978","CCNT2"
"979","INTS6"
"980","VIM"
"981","MRS2"
"982","TGFB3"
"983","URM1"
"984","EPHX1"
"985","MAPK14"
"986","CANX"
"987","CDK2AP1"
"988","IGFBP4"
"989","ATG3"
"990","GLTSCR2"
"991","AMOT"
"992","SLC16A3"
"993","HNRNPAB"
"994","ANP32B"
"995","ADO"
"996","CDC5L"
"997","TFDP2"
"998","IFIT5"
"999","TIMP3"
"1000","PCCA"
"1001","NDUFA12"
"1002","SRSF7"
"1003","AKT3"
"1004","IWS1"
"1005","PRAF2"
"1006","METTL2A"
"1007","CERK"
"1008","ATP6V0A1"
"1009","REEP3"
"1010","RGMB"
"1011","MIA"
"1012","MEPCE"
"1013","RNF187"
"1014","LIMA1"
"1015","BTBD3"
"1016","POMC"
"1017","TENM3"
"1018","MOSPD1"
"1019","TSPAN3"
"1020","ANXA2"
"1021","MAN2A1"
"1022","PGPEP1"
"1023","MYH9"
"1024","RACGAP1"
"1025","PARVB"
"1026","COBLL1"
"1027","ATP13A3"
"1028","CDK13"
"1029","KIT"
"1030","SLC25A4"
"1031","RAF1"
"1032","NUMB"
"1033","BMPR1A"
"1034","SH3GL1"
"1035","TTL"
"1036","NBPF1"
"1037","LHFPL2"
"1038","ALDOA"
"1039","AKAP17A"
"1040","ARL6IP6"
"1041","PIGS"
"1042","SLC25A38"
"1043","TRIM22"
"1044","TMEM248"
"1045","RAP2C"
"1046","GABARAP"
"1047","ASPM"
"1048","CENPJ"
"1049","EXOSC2"
"1050","RCE1"
"1051","C15orf40"
"1052","CRK"
"1053","APITD1"
"1054","CAPG"
"1055","TOR1B"
"1056","AFTPH"
"1057","LLGL1"
"1058","SLC25A5"
"1059","M6PR"
"1060","RHOQ"
"1061","FBXL7"
"1062","CCDC86"
"1063","C17orf49"
"1064","TRAK1"
"1065","PEAK1"
"1066","SRD5A1"
"1067","ARIH2"
"1068","BANP"
"1069","FMR1"
"1070","APRT"
"1071","RRP9"
"1072","UBAP2L"
"1073","HSPH1"
"1074","RELA"
"1075","EHD1"
"1076","TUBGCP3"
"1077","ST3GAL5"
"1078","SRP68"
"1079","ARHGEF12"
"1080","PUS1"
"1081","MINOS1"
"1082","PHC1"
"1083","DHX15"
"1084","RAB12"
"1085","LRP10"
"1086","ZNF561"
"1087","DMWD"
"1088","FAM103A1"
"1089","KIRREL"
"1090","MVK"
"1091","RARA"
"1092","ARHGAP21"
"1093","ITGA3"
"1094","SLC4A2"
"1095","PCCB"
"1096","LOH12CR1"
"1097","RTFDC1"
"1098","TMBIM6"
"1099","IFRD1"
"1100","FANCG"
"1101","RBM34"
"1102","RUFY3"
"1103","VPS41"
"1104","ATOX1"
"1105","VLDLR"
"1106","DESI1"
"1107","LLPH"
"1108","SLC25A1"
"1109","FTSJ1"
"1110","RAB5C"
"1111","ISOC2"
"1112","RAP2B"
"1113","ANAPC13"
"1114","POM121"
"1115","XPNPEP3"
"1116","MYO19"
"1117","TRAM1"
"1118","PLOD2"
"1119","ESCO2"
"1120","ZBTB10"
"1121","EIF3J"
"1122","MED25"
"1123","MRRF"
"1124","SUMO2"
"1125","HTT"
"1126","SAP30L"
"1127","TRIM38"
"1128","RBM38"
"1129","ARHGAP12"
"1130","PPP2CA"
"1131","MDM4"
"1132","NLGN1"
"1133","ACO1"
"1134","SPINT1"
"1135","CIAO1"
"1136","OLA1"
"1137","UBE2R2"
"1138","MTMR4"
"1139","ATXN3"
"1140","OSMR"
"1141","PLAT"
"1142","ACAP2"
"1143","GPR137B"
"1144","COL4A2"
"1145","DNAJB6"
"1146","EXOC8"
"1147","SKP2"
"1148","DMTF1"
"1149","CCDC14"
"1150","EXT2"
"1151","ZNF267"
"1152","CDCA5"
"1153","TFCP2"
"1154","CHST14"
"1155","MPPE1"
"1156","POLR3E"
"1157","HNRNPA1"
"1158","UBXN8"
"1159","TFAM"
"1160","CEP57L1"
"1161","XPO1"
"1162","NPM1"
"1163","SURF6"
"1164","SVIP"
"1165","TOM1L1"
"1166","RBX1"
"1167","OXNAD1"
"1168","XBP1"
"1169","RANGAP1"
"1170","KIF1B"
"1171","NFIC"
"1172","ITGB3BP"
"1173","VEGFA"
"1174","GGPS1"
"1175","CNOT10"
"1176","ROCK2"
"1177","SKI"
"1178","GRN"
"1179","MMP2"
"1180","PGM3"
"1181","TMEM194A"
"1182","ERCC2"
"1183","GSK3A"
"1184","SUCLG1"
"1185","TERF2IP"
"1186","EHD4"
"1187","AIFM2"
"1188","MIR9-3"
"1189","SH3BGRL3"
"1190","TRMT61A"
"1191","HMGN2"
"1192","CNBP"
"1193","NELFCD"
"1194","C12orf57"
"1195","CCSER2"
"1196","SH3PXD2A"
"1197","CBR4"
"1198","NT5E"
"1199","HERC2"
"1200","SLK"
"1201","HMGB3"
"1202","CDKN2AIP"
"1203","RASSF8"
"1204","ADRBK1"
"1205","DCAF7"
"1206","LGALS3BP"
"1207","DAG1"
"1208","MND1"
"1209","RRAGC"
"1210","EXT1"
"1211","PACS2"
"1212","PRDM4"
"1213","STX16"
"1214","CBFA2T2"
"1215","HSPB8"
"1216","CADM1"
"1217","ATG10"
"1218","BBX"
"1219","ERCC6L2"
"1220","PHF13"
"1221","DHDDS"
"1222","DIAPH3"
"1223","DDX28"
"1224","CCDC59"
"1225","CLPX"
"1226","MBP"
"1227","EMILIN2"
"1228","DNAJC11"
"1229","HIGD1A"
"1230","MC1R"
"1231","TBC1D15"
"1232","PITPNB"
"1233","RPL13A"
"1234","XRCC5"
"1235","PNPLA4"
"1236","CASP9"
"1237","NCALD"
"1238","C11orf30"
"1239","PPARA"
"1240","QSOX2"
"1241","PSMD11"
"1242","ATP6V1A"
"1243","MYLK"
"1244","GLI3"
"1245","DUSP12"
"1246","ACAT1"
"1247","KAT2A"
"1248","ANKZF1"
"1249","STRBP"
"1250","ATM"
"1251","MRM1"
"1252","PPP6R1"
"1253","NAP1L1"
"1254","CA8"
"1255","ORAI2"
"1256","NCAPH"
"1257","ZNF277"
"1258","EP300"
"1259","EIF6"
"1260","JARID2"
"1261","PIN1"
"1262","AGAP3"
"1263","SOCS2"
"1264","VPS8"
"1265","HLA-DPA1"
"1266","HDAC1"
"1267","MSL2"
"1268","PLEKHO2"
"1269","MIR31"
"1270","LAMC1"
"1271","RPS6KA4"
"1272","PCGF6"
"1273","ACTN1"
"1274","CMC1"
"1275","RNASEH1"
"1276","TRIOBP"
"1277","UBR4"
"1278","SRF"
"1279","POLR3D"
"1280","TP53"
"1281","OTUB1"
"1282","NCOA4"
"1283","KLF9"
"1284","BAZ2A"
"1285","TMX3"
"1286","CPS1"
"1287","UBE2V1"
"1288","RER1"
"1289","SRP72"
"1290","ATP6V0E1"
"1291","MAPK8IP1"
"1292","CCAR1"
"1293","COX17"
"1294","TM9SF3"
"1295","ORC6"
"1296","WDR1"
"1297","SAPCD2"
"1298","CNOT2"
"1299","NRD1"
"1300","ETS1"
"1301","ATP5A1"
"1302","NDRG3"
"1303","SHOX2"
"1304","S100A1"
"1305","TOM1"
"1306","RABGAP1"
"1307","FAM178A"
"1308","DEDD2"
"1309","TRAPPC1"
"1310","MBD6"
"1311","RFC2"
"1312","PLXNA1"
"1313","NUP54"
"1314","RPSA"
"1315","ATF2"
"1316","ZNF286A"
"1317","PSMG1"
"1318","GGA2"
"1319","EDC4"
"1320","QDPR"
"1321","PARK7"
"1322","AUP1"
"1323","PTPN3"
"1324","EN2"
"1325","CC2D2A"
"1326","ATAD3A"
"1327","STRN4"
"1328","ELF1"
"1329","UBL4A"
"1330","HMGCR"
"1331","RASSF3"
"1332","NMD3"
"1333","POLA1"
"1334","AIMP2"
"1335","SOX5"
"1336","PBXIP1"
"1337","EIF4H"
"1338","NAT8L"
"1339","GGCT"
"1340","KHDRBS1"
"1341","ENKD1"
"1342","FBXW2"
"1343","POR"
"1344","L1CAM"
"1345","RNMTL1"
"1346","INTS1"
"1347","APOLD1"
"1348","ACOT9"
"1349","EDNRB"
"1350","MSH6"
"1351","SPP1"
"1352","CCS"
"1353","ADAM9"
"1354","LSM14A"
"1355","KDM3B"
"1356","USP18"
"1357","FNTA"
"1358","TLN2"
"1359","COL18A1"
"1360","PLD2"
"1361","TSEN34"
"1362","CCBL2"
"1363","RRBP1"
"1364","ARNT"
"1365","IKBKAP"
"1366","BAX"
"1367","PARP1"
"1368","EPN1"
"1369","H1FX"
"1370","CLDND1"
"1371","CASP7"
"1372","RRAGD"
"1373","ATP6V0E2"
"1374","SCD5"
"1375","CDK12"
"1376","LPIN1"
