,source_name,target_name
76,ADCY5,ADCY5
77,MIR182,ADCY6
78,MIR221,ADD1
79,XRCC5,ADH5
80,SP1,ADH5
81,ZBTB7A,ADH5
82,ATF3,ADIPOR2
83,MIRLET7B,ADIPOR2
84,MIR92A2,ADM
85,STAT3,ADM
86,CEBPB,ADM
87,JUND,ADM
88,MIR29B2,ADM
89,TFAP2A,ADM
90,SP1,ADM
91,MIR205,ADO
92,MIR101-2,ADO
93,MIR92A2,ADRM1
94,MIR101-2,AEBP2
95,MIR92A2,AEN
96,MIR193B,AEN
97,MIR25,AEN
98,MIR205,AFF1
99,MIR31,AFF1
100,MIR181A1,AFF4
101,MIR205,AFF4
102,MIR101-2,AFF4
103,MIRLET7B,AFF4
104,MIR149,AGAP3
105,MIR149,AGBL5
106,MIR92A2,AGBL5
107,MIR25,AGBL5
108,MIR21,AGGF1
109,MIR149,AGO1
110,MIR29A,AGO1
111,MIR222,AGO2
112,MIR92A2,AGO2
113,MIRLET7B,AGO2
114,MIR21,AGO2
115,MIR214,AGO2
116,MIR148A,AGO2
117,MIR149,AGO2
118,MIR31,AGO2
119,MIR193B,AGPAT1
120,MIR149,AGPAT3
121,MIR92A2,AGPAT5
122,MIR149,AGPAT6
123,MIR149,AGTRAP
124,HMOX1,AHR
125,PTGS2,AHR
126,FOS,AHR
127,MIR149,AHR
128,STAT3,AHR
129,MIR181A1,AHR
130,CCND1,AHR
131,HSPB1,AHR
132,SOS1,AHR
133,ABCC4,AHR
134,MIRLET7B,AHR
135,MIR193B,AHSA2
136,MIR21,AHSA2
137,MIR29A,AHSA2
138,MIRLET7B,AIDA
139,MIR92A2,AIDA
140,BNIP3,AIFM1
141,MIR214,AIFM2
142,MIR149,AIP
143,MIR92A2,AK2
144,MIR149,AK2
145,MIR34A,AK2
146,MIR25,AKAP10
147,MIR92A2,AKAP10
148,MIR101-2,AKAP11
149,MIR181A1,AKAP12
150,MIR149,AKAP13
151,MIR205,AKAP8
152,MIR146A,AKAP8
153,MIR34A,AKR1B1
154,FOXO3,AKT1
155,STAT3,AKT1
156,BAD,AKT1
157,MIR149,AKT1
158,AKT1,AKT1
159,MIR29A,AKT2
160,MIR29B2,AKT2
161,MIR203A,AKT2
162,MIR149,AKT2
163,MIR29A,AKT3
164,MIR9-3,ALDH1A3
165,MIR182,ALDH1A3
166,MIR34A,ALDH9A1
167,MIR92A2,ALDH9A1
168,MIR222,ALG3
169,MIR92A2,ALKBH4
170,MIR149,ALYREF
171,APOE,ALYREF
172,MIR101-2,AMD1
173,MIR29B2,AMFR
174,MIR29A,AMFR
175,MIR101-2,AMMECR1L
176,MIR29A,AMMECR1L
177,MIR205,AMOT
178,MIRLET7B,ANAPC16
179,MIR214,ANAPC16
180,MIR34A,ANAPC5
181,MIR9-3,ANKFY1
182,MIR101-2,ANKFY1
183,MIR92A2,ANKH
184,MIR25,ANKIB1
185,MIR92A2,ANKIB1
186,MIR92A2,ANKLE2
187,MIR193B,ANKRD11
188,MIR149,ANKRD11
189,MIR101-2,ANKRD11
190,MIR101-2,ANKRD17
191,MIR21,ANKRD28
192,MIR149,ANKRD40
193,MIR205,ANKRD50
194,MIR18B,ANKRD52
195,MIRLET7B,ANKRD52
196,MIR182,ANO6
197,MIR148A,ANP32A
198,MIR203A,ANP32A
199,MIR25,ANP32E
200,MIRLET7B,ANP32E
201,MIR92A2,ANP32E
202,NFYA,ANXA1
203,TP53,ANXA1
204,FOXM1,ANXA1
205,MIR25,ANXA11
206,MIR92A2,ANXA11
207,MIR21,AP1AR
208,MIR101-2,AP1G1
209,MIR181A1,AP1M1
210,AAK1,AP1M1
211,MIRLET7B,AP1S1
212,MIR101-2,AP1S3
213,MIR34A,AP2A1
214,MIR92A2,AP2B1
215,MIR34A,AP2M1
216,AAK1,AP2M1
217,MIR214,AP3B1
218,MIR9-3,AP3B1
219,MIR25,AP3M1
220,MIR21,AP3M1
221,MIR101-2,AP3M1
222,MIRLET7B,AP3M1
223,MIR181A1,AP5M1
224,MIR193B,AP5M1
225,MIR25,AP5Z1
226,MIR92A2,AP5Z1
227,TP53,APAF1
228,E2F1,APAF1
229,MIR9-3,APBB2
230,TP53,APC
231,CBFB,APC
232,MIR148A,APC
233,BAX,APEX1
234,APEX1,APEX1
235,MIR146A,APIP
236,MIR30D,APLP2
237,MIR92A2,APOBEC3C
238,SRF,APOE
239,SP1,APOE
240,TFAP2A,APOE
241,ESR1,APOE
242,JUND,APOE
243,MIR101-2,APP
244,PURA,APP
245,TP53,APP
246,TP53,APP
247,USF2,APP
248,MIRLET7B,AREL1
249,MIR193B,AREL1
250,MIR92A2,ARF1
251,MIR31,ARF1
252,MIR34A,ARF6
253,MIR92A2,ARFGEF2
254,MIR193B,ARHGAP11A
255,MIRLET7B,ARHGAP26
256,MIR149,ARHGAP31
257,MIR92A2,ARHGDIA
258,MIR9-3,ARHGEF10
259,MIR221,ARHGEF18
260,MIR149,ARHGEF39
261,MIR101-2,ARID1A
262,MIR92A2,ARID1B
263,MIRLET7B,ARID1B
264,MIR25,ARID1B
265,MIR148A,ARID3A
266,MIR92A2,ARID4B
267,MIR101-2,ARID5B
268,MIRLET7B,ARIH1
269,MIR30D,ARL2BP
270,MIR31,ARL6IP5
271,MIR205,ARL6IP6
272,MIR146A,ARL8A
273,MIR149,ARL8A
274,MIRLET7B,ARL8B
275,MIR9-3,ARL8B
276,MIR149,ARL8B
277,MIR29B2,ARL8B
278,MIR148A,ARL8B
279,MIR214,ARL8B
280,MIR193B,ARMC1
281,MIR149,ARMC10
282,VEGFA,ARNT
283,MIR92A2,ARPC2
284,MIR149,ARPC2
285,MIR25,ARPC3
286,MIR200B,ARPC3
287,MIR149,ARPC3
288,MIR31,ARPC5
289,MIR205,ARPP19
290,MIR206,ARPP19
291,MIRLET7B,ARPP19
292,MIR92A2,ARPP19
293,MIR203A,ARPP19
294,MIR149,ARRB2
295,MIR181A1,ARRDC3
296,MIR148A,ARRDC3
297,MIR92A2,ASAH1
298,CREB1,ASAH1
299,MIR149,ASB6
300,MIR9-3,ASB6
301,MIR9-3,ASB7
302,MIR214,ASF1B
303,MIR214,ASH1L
304,SP1,ASNS
305,MIRLET7B,ASPSCR1
306,MIR29A,ASXL2
307,MIR149,ATAD3A
308,SLC19A1,ATF1
309,IMPDH2,ATF1
310,FOSL1,ATF1
311,HMOX1,ATF1
312,PTGS2,ATF1
313,NT5E,ATF1
314,HIPK2,ATF1
315,RB1,ATF1
316,NT5E,ATF2
317,ITGB8,ATF2
318,RB1,ATF2
319,MYLK,ATF2
320,PLAT,ATF2
321,ATF2,ATF2
322,PTGS2,ATF2
323,MMP2,ATF2
324,ST3GAL5,ATF2
325,VDR,ATF2
326,ATF2,ATF3
327,TP53,ATF3
328,TP53,ATF3
329,MMP1,ATF3
330,PMAIP1,ATF3
331,CDKN1A,ATF3
332,ATF3,ATF3
333,ATF3,ATF4
334,ATF4,ATF4
335,FUS,ATF4
336,PSEN1,ATF4
337,MIR222,ATF5
338,ID1,ATF5
339,MIR149,ATF6
340,MIR25,ATF7IP
341,MIR21,ATF7IP
342,MIR205,ATF7IP
343,MIR92A2,ATF7IP
344,MIR9-3,ATG10
345,MIR101-2,ATG4D
346,MIR146A,ATG9A
347,MIRLET7B,ATG9A
348,STRAP,ATM
349,MDM4,ATM
350,ATM,ATM
351,MIR149,ATN1
352,MIR92A2,ATP11A
353,MIR92A2,ATP13A1
354,MIR146A,ATP13A3
355,MIR92A2,ATP1A1
356,SNAI1,ATP1B1
357,MIR31,ATP2A2
358,MIR92A2,ATP2A2
359,MIR149,ATP5A1
360,MIR31,ATP5A1
361,MIR92A2,ATP5B
362,MIR101-2,ATP5B
363,MIR149,ATP5G1
364,MIR149,ATP5G2
365,MIR92A2,ATP5J
366,MIR182,ATP5O
367,MIR149,ATP6V1A
368,TP53,ATR
369,ATR,ATR
370,CHEK1,ATR
371,MIR101-2,ATXN1
372,MIR182,ATXN1L
373,MIR101-2,ATXN1L
374,MIR92A2,ATXN2L
375,MIR149,ATXN3
376,NFYB,ATXN3
377,MIR92A2,ATXN7
378,MIR181A1,ATXN7
379,MIR9-3,ATXN7
380,MIRLET7B,ATXN7L3
381,MIR193B,ATXN7L3
382,MIR222,ATXN7L3
383,MIR9-3,AUH
384,MIR149,AURKA
385,GABPA,AURKA
386,NFYA,AURKA
387,E2F1,AURKA
388,HIF1A,AURKA
389,MIR25,AURKA
390,MIR92A2,AURKA
391,E2F4,AURKB
392,E2F1,AURKB
393,TFDP2,AURKB
394,MIR92A2,AURKB
395,MIR146A,AVL9
396,MIR214,AVL9
397,CREB1,AXL
398,HIF1A,AXL
399,FOSL1,AXL
400,MIR205,AZI2
401,IRF2,B2M
402,RELA,B2M
403,REL,B2M
404,IRF4,B2M
405,MIR92A2,B3GALNT2
406,CREB1,B3GAT3
407,MIR92A2,B4GALT2
408,MIR205,B4GALT5
409,MIR205,B4GALT6
410,MIR9-3,B4GALT6
411,STAT1,BACE1
412,MIR9-3,BACE1
413,MIR29A,BACE1
414,MIR149,BACE2
415,MIR31,BACH1
416,BCL2L11,BAD
417,BAD,BAD
418,RPS6KA3,BAD
419,CHCHD3,BAG1
420,MIR182,BAG1
421,MIR214,BAG2
422,TFAP2A,BAG3
423,MIR200B,BAG4
424,CREB1,BAK1
425,BCL2L11,BAK1
426,BID,BAK1
427,ZNF281,BAK1
428,BAK1,BAK1
429,MIR92A2,BAK1
430,MIR205,BAMBI
431,MIR214,BANP
432,AKT1,BAX
433,BCL2L11,BAX
434,MIR214,BAX
435,TP53,BAX
436,PAX3,BAX
437,BAX,BAX
438,MIR146A,BAZ2A
439,MIR149,BBC3
440,MIR29A,BBC3
441,TP53,BBC3
442,SMAD4,BBC3
443,MIRLET7B,BBS7
444,MIR9-3,BBX
445,MIR29A,BCAP31
446,MIR92A2,BCAT2
447,RELA,BCL10
448,REL,BCL10
449,MIR148A,BCL2
450,DDB2,BCL2
451,SP1,BCL2
452,HMGA1,BCL2
453,E2F1,BCL2
454,RUNX3,BCL2
455,CEBPB,BCL2
456,MIR29A,BCL2
457,RUNX1,BCL2
458,MIR29B2,BCL2
459,MIR205,BCL2
460,TFAP2A,BCL2
461,ATF1,BCL2
462,ADAR,BCL2
463,MIR182,BCL2
464,STAT3,BCL2
465,CREB1,BCL2
466,GLI3,BCL2
467,MITF,BCL2
468,CEBPB,BCL2A1
469,CEBPB,BCL2L1
470,STAT6,BCL2L1
471,HIF1A,BCL2L1
472,FOXO3,BCL2L11
473,BCL2L11,BCL2L11
474,PMAIP1,BCL2L11
475,MIR214,BCL2L2
476,MIR203A,BCL2L2
477,MIR221,BCL2L2
478,BCL3,BCL3
479,MIR21,BCL6
480,MIR9-3,BCL6
481,TCF3,BCL6
482,LITAF,BCL6
483,TP53,BCL6
484,STAT6,BCL6
485,TP53,BCL6
486,CHEK1,BCL6
487,BCL2L1,BCL6
488,MIR205,BCL6
489,BCL6,BCL6
490,MIR92A2,BCL7A
491,MIR203A,BCL7A
492,MIR3916,BCL7A
493,MIR205,BCL7A
494,MIR29A,BCL7A
495,MIR146A,BCL7B
496,MIR101-2,BCL9
497,MIR92A2,BCL9
498,MIR205,BCL9L
499,MIR92A2,BCS1L
500,MIR205,BDP1
501,RELA,BECN1
502,MITF,BEST1
503,NFYB,BET1
504,MIR92A2,BFAR
505,BHLHE40,BHLHE40
506,BHLHE41,BHLHE40
507,HIF1A,BHLHE40
508,BIRC5,BHLHE40
509,MIR193B,BICD2
510,MIR92A2,BICD2
511,MIR101-2,BICD2
512,MIR149,BID
513,BAX,BID
514,PMAIP1,BID
515,BID,BID
516,BAD,BID
517,MIR149,BIN3
518,STAT3,BIRC5
519,MIR149,BIRC5
520,MIR101-2,BIRC5
521,MITF,BIRC7
522,MIR92A2,BLMH
523,SP1,BLMH
524,IRF2,BLMH
525,MIR214,BLOC1S3
526,MIR25,BLOC1S4
527,MIR31,BLOC1S4
528,MIR101-2,BLOC1S6
529,ATF2,BLVRA
530,RELA,BLVRA
531,MIR29B2,BMP1
532,MIR29A,BMPR1A
533,MIR9-3,BOD1L1
534,MIR203A,BOLA3
535,HIF1A,BRAF
536,HRAS,BRAF
537,RAP1B,BRAF
538,BRAF,BRAF
539,MAP2K2,BRAF
540,MIR203A,BRAP
541,GABPA,BRCA1
542,GABPB1,BRCA1
543,RPA2,BRCA1
544,TP53BP1,BRCA1
545,E2F1,BRCA1
546,MIR146A,BRCA1
547,CREB1,BRCA1
548,E2F4,BRCA1
549,CTCF,BRCA1
550,FOSL2,BRCA1
551,MYC,BRCA1
552,CDKN1B,BRCA1
553,MIR193B,BRCC3
554,MIR92A2,BRCC3
555,MIR92A2,BRD2
556,MIRLET7B,BRD2
557,MYC,BRD7
558,SP1,BRD7
559,MIR92A2,BRF1
560,MIR149,BRI3BP
561,MIRLET7B,BRI3BP
562,MIR203A,BROX
563,SP3,BSG
564,MIR92A2,BSG
565,SP1,BSG
566,TFAP2A,BST2
567,MIR92A2,BTAF1
568,MIR137,BTBD1
569,MIR92A2,BTBD7
570,MIR148A,BTD
571,MIR92A2,BTF3
572,MIR34A,BTF3L4
573,MIR149,BTF3L4
574,MIR3916,BTF3L4
575,MIR203A,BTG1
576,ETS2,BTG2
577,MIR203A,BTG2
578,MIR29A,BTG2
579,MIR101-2,BTG2
580,MIR92A2,BTG2
581,MIR3916,BTG2
582,MIR29B2,BTG2
583,MIR149,BTG2
584,MIR338,BTG3
585,MIR101-2,BTRC
586,MIR92A2,BTRC
587,RELA,BTRC
588,MIR29B2,BUB3
589,MIR101-2,BZW1
590,MIR214,C10orf76
591,MIR149,C10orf76
592,MIR25,C11orf54
593,MIR92A2,C11orf57
594,MIR149,C11orf58
595,MIR205,C11orf74
596,MIRLET7B,C12orf4
597,MIR3916,C12orf4
598,MIR25,C14orf2
599,MIR21,C15orf52
600,MIR31,C15orf52
601,MIR338,C15orf52
602,MIR146A,C16orf52
603,MIR9-3,C16orf58
604,MIR214,C17orf49
605,MIR214,C17orf85
606,MIR29A,C18orf32
607,MIR214,C18orf32
608,MIR31,C19orf12
609,MIRLET7B,C19orf53
610,MIR214,C1D
611,MIR149,C1D
612,MIRLET7B,C1GALT1
613,MIR181A1,C1orf109
614,SP1,C1orf109
615,MIR205,C1orf123
616,MIR92A2,C1orf174
617,MIR182,C1orf174
618,MIR31,C1orf198
619,MIR146A,C1orf21
620,MIRLET7B,C1orf52
621,MIR148A,C1orf52
622,MIR101-2,C1orf52
623,MIR203A,C20orf24
624,MIR29A,C21orf91
625,MIR193B,C22orf29
626,MIR92A2,C22orf29
627,MIR31,C2CD5
628,MIR92A2,C2orf69
629,MIR193B,C5orf22
630,MIR92A2,C5orf24
631,MIR149,C5orf45
632,MIR205,C5orf51
633,MIR9-3,C5orf51
634,MIR193B,C6orf47
635,MIR200B,C6orf47
636,MIR92A2,C6orf62
637,MIRLET7B,C6orf62
638,MIR193B,C7orf26
639,MIR101-2,C7orf60
640,MIR222,C8orf33
641,MIR29B2,C9orf114
642,MIR214,C9orf3
643,MIR193B,C9orf40
644,MIR149,C9orf41
645,MIR101-2,C9orf41
646,MIR92A2,C9orf64
647,MIR31,C9orf64
648,MIR214,C9orf78
649,MIR9-3,C9orf89
650,MIR9-3,CA8
651,MIR25,CABIN1
652,MIR92A2,CACUL1
653,SP1,CAD
654,MIR92A2,CAD
655,MYC,CAD
656,MIR101-2,CADM1
657,MIR214,CADM1
658,MIR149,CALD1
659,MIR29B2,CALM3
660,MIR29A,CALM3
661,MIR149,CALR
662,MIR214,CALU
663,MIR29B2,CALU
664,MIR203A,CALU
665,MIR149,CAMLG
666,MIR30D,CAMSAP1
667,MIR29A,CAND1
668,MIR203A,CAND1
669,MIR29B2,CAND1
670,MIR149,CAPN15
671,MIR101-2,CAPN2
672,MIR214,CAPN5
673,MIR149,CAPN7
674,MIR214,CAPN7
675,MIR9-3,CAPZA1
676,MIR149,CAPZB
677,MIRLET7B,CARHSP1
678,MIR92A2,CARM1
679,MIR149,CARM1
680,MIR181A1,CARM1
681,MIR92A2,CARS
682,MIR182,CASC3
683,MIR222,CASKIN2
684,CASP3,CASP3
685,BAD,CASP3
686,SP1,CASP3
687,CASP8,CASP3
688,CASP9,CASP3
689,BAD,CASP7
690,CASP7,CASP7
691,CASP9,CASP7
692,BID,CASP8
693,MIR29B2,CASP8
694,MIR29A,CASP8
695,CREB1,CASP8
696,ETS1,CASP8
697,BAD,CASP8
698,AKT1,CASP9
699,CASP9,CASP9
700,MIR222,CAST
701,TP53,CAV1
702,FOXO3,CAV1
703,MIR203A,CAV1
704,MIR199A2,CAV2
705,MIR101-2,CBFA2T2
706,MIR203A,CBLL1
707,USF1,CBS
708,MIR193B,CBS
709,NFYB,CBS
710,NFIC,CBS
711,SP1,CBS
712,NFYA,CBS
713,MIR92A2,CBS
714,MIR149,CBS
715,MIR214,CBS
716,MIR193B,CBX1
717,MIR29B2,CBX2
718,MIR29A,CBX2
719,MIR92A2,CBX2
720,MIR101-2,CBX4
721,MIR92A2,CBX5
722,MIR92A2,CBX6
723,MIR182,CBX6
724,MIR29A,CBX6
725,MIR29B2,CBX6
726,MIR149,CCAR2
727,MIR29A,CCDC117
728,MIR29B2,CCDC117
729,MIR29A,CCDC14
730,MIR92A2,CCDC57
731,MIR146A,CCDC6
732,MIR92A2,CCDC6
733,MIR193B,CCDC77
734,MIR149,CCDC77
735,STAT3,CCDC88A
736,CREB1,CCNA2
737,NFYA,CCNA2
738,E4F1,CCNA2
739,MIR148A,CCNA2
740,HMGA2,CCNA2
741,YBX1,CCNA2
742,ATF1,CCNA2
743,MIR29A,CCNA2
744,CREM,CCNA2
745,MIRLET7B,CCNA2
746,MIR29B2,CCNA2
747,ATF2,CCNA2
748,MIR193B,CCNA2
749,MIR146A,CCNA2
750,YBX1,CCNB1
751,E2F4,CCNB1
752,E2F1,CCNB1
753,ZBTB33,CCND1
754,BCL3,CCND1
755,MIR29A,CCND1
756,CTNNB1,CCND1
757,TCF7L2,CCND1
758,MYC,CCND1
759,HDAC1,CCND1
760,STAT5A,CCND1
761,ATF2,CCND1
762,MIR92A2,CCND1
763,MIR9-3,CCND1
764,HDAC3,CCND1
765,CREB1,CCND1
766,ETS2,CCND1
767,JUN,CCND1
768,CREM,CCND1
769,E2F1,CCND1
770,ATF1,CCND1
771,MIR214,CCND1
772,JUND,CCND1
773,EP300,CCND1
774,STAT1,CCND1
775,RELA,CCND1
776,STAT5B,CCND1
777,ETV4,CCND3
778,MIR34A,CCND3
779,SP1,CCND3
780,E2F1,CCND3
781,MIRLET7B,CCND3
782,MIR9-3,CCNDBP1
783,MIR92A2,CCNE1
784,E2F1,CCNE1
785,MIR101-2,CCNF
786,MIRLET7B,CCNF
787,MIR25,CCNF
788,MIRLET7B,CCNG1
789,MIR21,CCNG1
790,MIR9-3,CCNG1
791,MIR181A1,CCNG1
792,MIR148A,CCNI
793,MIR92A2,CCNI
794,MIR29A,CCNT2
795,MIR193B,CCP110
796,MIR193B,CCT4
797,MIR149,CCT4
798,MIR29A,CCT4
799,MIR148A,CCT6A
800,MIR149,CCT6A
801,MIR92A2,CCT7
802,RELA,CD200
803,MIR92A2,CD276
804,MIR29A,CD276
805,MIR92A2,CD2BP2
806,MIR149,CD3EAP
807,MIR92A2,CD3EAP
808,TP53,CD44
809,ETS1,CD44
810,MIR101-2,CD46
811,STAT3,CD46
812,MIR21,CD47
813,NRF1,CD47
814,CREB1,CD59
815,MIR92A2,CD59
816,IRF4,CD68
817,ELF1,CD68
818,MIR101-2,CD81
819,TP53,CD82
820,MIR101-2,CDC123
821,MIR193B,CDC25A
822,MIR34A,CDC25A
823,E2F1,CDC25A
824,MIRLET7B,CDC25A
825,MAX,CDC25A
826,MYC,CDC25A
827,MIR92A2,CDC25A
828,FOXM1,CDC25A
829,NFYB,CDC25C
830,TP53,CDC25C
831,YY1,CDC25C
832,NFYA,CDC25C
833,MIR92A2,CDC27
834,MIR222,CDC27
835,MIRLET7B,CDC34
836,MIR92A2,CDC37
837,MIR29A,CDC42
838,MIR29B2,CDC42
839,MAPK14,CDC42
840,CDC42,CDC42
841,TIAM1,CDC42
842,MIR214,CDC42SE1
843,MIR29A,CDC42SE1
844,MIR92A2,CDC42SE1
845,MIR31,CDC42SE1
846,MIR29B2,CDC42SE1
847,MIR203A,CDC42SE2
848,MIR205,CDC5L
849,E2F1,CDC6
850,E2F4,CDC6
851,MIR92A2,CDC6
852,TFCP2,CDC6
853,MIR101-2,CDC7
854,MIR29A,CDC7
855,WT1,CDC73
856,MIR155,CDC73
857,MIR146A,CDC73
858,MIR193B,CDCA2
859,MIRLET7B,CDCA8
860,TWIST1,CDH1
861,SNAI2,CDH1
862,ADAM10,CDH1
863,TFAP2A,CDH1
864,KIT,CDH1
865,MIR25,CDH1
866,CDC6,CDH1
867,MIR92A2,CDH1
868,MIR18B,CDH1
869,SNAI1,CDH1
870,TOPORS,CDH1
871,MTA1,CDH1
872,TFAP2C,CDH1
873,CREB1,CDH1
874,MIR193B,CDH1
875,TCF12,CDH1
876,MIR199A2,CDH1
877,HIF1A,CDH1
878,TBX3,CDH1
879,MIR9-3,CDH1
880,SP1,CDH1
881,SMAD4,CDH2
882,SP1,CDH2
883,BCL3,CDH2
884,E2F4,CDK1
885,MIR205,CDK1
886,E2F1,CDK1
887,NFYB,CDK1
888,MIR31,CDK1
889,CUX1,CDK1
890,CREB1,CDK11A
891,ETS1,CDK11A
892,MIR9-3,CDK12
893,MIR149,CDK14
894,MIR92A2,CDK16
895,MIR21,CDK19
896,MIR148A,CDK19
897,SP1,CDK4
898,MIR29A,CDK4
899,MIR206,CDK4
900,MYC,CDK4
901,MIR34A,CDK4
902,CDK4,CDK4
903,JUND,CDK4
904,MIR25,CDK4
905,MIR193B,CDK4
906,MIR155,CDK5
907,MIR149,CDK5RAP2
908,MIR214,CDK6
909,MIR221,CDK6
910,MIR155,CDK6
911,MIR193B,CDK6
912,SP1,CDK6
913,MIR205,CDK6
914,MIR34A,CDK6
915,MIR137,CDK6
916,MIR29A,CDK6
917,MIR29B2,CDK6
918,MIR203A,CDK6
919,CDK6,CDK6
920,MIRLET7B,CDK6
921,MIR21,CDK6
922,MIR222,CDK6
923,MIR92A2,CDK9
924,MIR149,CDKAL1
925,SMAD2,CDKN1A
926,CEBPB,CDKN1A
927,MIR146A,CDKN1A
928,SRF,CDKN1A
929,TP53,CDKN1A
930,VDR,CDKN1A
931,SMAD4,CDKN1A
932,MIR101-2,CDKN1A
933,PAX3,CDKN1A
934,ZBTB2,CDKN1A
935,NFIC,CDKN1A
936,MIR182,CDKN1A
937,ZBTB7A,CDKN1A
938,STAT1,CDKN1A
939,MITF,CDKN1A
940,STAT3,CDKN1A
941,FOXO3,CDKN1B
942,MIR149,CDKN1B
943,MIR182,CDKN1B
944,NFYB,CDKN1B
945,SP1,CDKN1C
946,MIR205,CDKN2A
947,CDKN2A,CDKN2A
948,RB1CC1,CDKN2A
949,DHX9,CDKN2A
950,NFYB,CDKN2A
951,SP1,CDKN2B
952,SP3,CDKN2B
953,E2F1,CDKN2C
954,E2F1,CDKN2D
955,MIR146A,CDKN3
956,MIR92A2,CDKN3
957,MIR29B2,CDV3
958,MIR205,CDV3
959,MIR92A2,CDV3
960,SLC19A1,CEBPB
961,PTGS2,CEBPB
962,DDIT4,CEBPB
963,ITGA5,CEBPB
964,MIR3916,CELF1
965,MIR92A2,CELSR2
966,MIR149,CENPB
967,MIRLET7B,CENPB
968,MIR149,CEP104
969,MIR149,CEP170B
970,MIR222,CEP250
971,MIR199A2,CEP55
972,MIR155,CEP55
973,MIR222,CEP55
974,MIR148A,CEP55
975,MIR214,CEP57L1
976,MIR92A2,CEP85
977,MIR101-2,CERK
978,MIR92A2,CERS1
979,MIR9-3,CERS2
980,MIR101-2,CERS2
981,MIR29B2,CERS2
982,MIR9-3,CERS4
983,MIR92A2,CES2
984,CFL2,CFL2
985,MIR92A2,CHAF1A
986,MIR193B,CHAF1B
987,MIR101-2,CHAMP1
988,MIRLET7B,CHD3
989,MIR193B,CHD4
990,MIR29B2,CHD4
991,MIR205,CHD4
992,MIRLET7B,CHD4
993,MIRLET7B,CHD7
994,CHEK1,CHEK1
995,NFYB,CHEK2
996,MIR182,CHEK2
997,ATM,CHEK2
998,TP53,CHEK2
999,CHEK2,CHEK2
1000,MDM4,CHEK2
1001,MIR205,CHEK2
1002,HIF1A,CHKA
1003,MIR182,CHL1
1004,MIR149,CHMP1B
1005,MIR9-3,CHMP3
1006,MIRLET7B,CHMP3
1007,MIR31,CHMP4B
1008,MIR149,CHORDC1
1009,MIR9-3,CHSY1
1010,MIR221,CHSY1
1011,MIRLET7B,CHTOP
1012,MIR193B,CHTOP
1013,MIR92A2,CHTOP
1014,ETS1,CHUK
1015,MIR149,CIAPIN1
1016,MIR92A2,CIC
1017,MIR92A2,CISD1
1018,MIR92A2,CIT
1019,MIR29B2,CIT
1020,MIR203A,CIT
1021,MIR182,CITED2
1022,MIRLET7B,CIZ1
1023,MIR222,CKAP2
1024,MIR31,CKAP2L
1025,MIR21,CKAP5
1026,MIR34A,CKAP5
1027,MIRLET7B,CKB
1028,MIR92A2,CKB
1029,MIR200B,CKS2
1030,MIRLET7B,CKS2
1031,MIR21,CLASP1
1032,MIRLET7B,CLDN12
1033,MIR101-2,CLIC4
1034,MIRLET7B,CLINT1
1035,MIR155,CLINT1
1036,MIR205,CLIP1
1037,ESR1,CLOCK
1038,MIR193B,CLPB
1039,MIR200B,CLPB
1040,MIR203A,CLPTM1L
1041,MIR25,CLSPN
1042,MIR92A2,CLSPN
1043,MIR149,CLSPN
1044,MIR29A,CLSPN
