"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","A375_vitro_vehicle_rep1","A375_vitro_vehicle_rep2","A375_vitro_vehicle_rep3","A375_vitro_vem_6h_rep1","A375_vitro_vem_6h_rep2","A375_vitro_vem_6h_rep3","A375_vitro_vem_48h_rep1","A375_vitro_vem_48h_rep2","A375_vitro_vem_48h_rep3","A375_vivo_vehicle_rep1","A375_vivo_vehicle_rep2","A375_vivo_vehicle_rep3","A375_vivo_vehicle_rep4","A375_vivo_vem_rep1","A375_vivo_vem_rep2","A375_vivo_vem_rep3","A375_vivo_vem_rep4","Colo800_vitro_vehicle_rep1","Colo800_vitro_vehicle_rep2","Colo800_vitro_vem_48h_rep1","Colo800_vitro_vem_48h_rep2","H3122_vitro_vehicle_rep1","H3122_vitro_vehicle_rep2","H3122_vitro_crizotinib_48h_rep1","H3122_vitro_crizotinib_48h_rep2","UACC62_vitro_vehicle_rep1","UACC62_vitro_vehicle_rep2","UACC62_vitro_vem_48h_rep1","UACC62_vitro_vem_48h_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep1","A375R_RPL10a_vivo__Ronly_vehicle_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep3","A375R_RPL10a_vivo__SR_vehicle_rep1","A375R_RPL10a_vivo__SR_vehicle_rep2","A375R_RPL10a_vivo__SR_vehicle_rep3","A375R_RPL10a_vivo__Ronly_vem10d_rep1","A375R_RPL10a_vivo__Ronly_vem10d_rep2","A375R_RPL10a_vivo__Ronly_vem10d_rep3","A375R_RPL10a_vivo__SR_vem10d_rep1","A375R_RPL10a_vivo__SR_vem10d_rep2","A375R_RPL10a_vivo__SR_vem10d_rep3"
"LOC100288637",NA,NA,130.147797576205,93.2770123639342,87.5053526104182,195.547074711753,85.285550603228,61.6586647990215,39.6981946113949,23.7506497678536,30.9195786284339,250.142218453605,145.624706272364,195.937252159679,171.749820106719,56.5194835618463,51.7778390245021,59.6507098416069,57.2522804016336,269.395475098827,220.314366712339,57.7177698208375,60.3972044263264,481.980895637885,443.252365313001,458.156099771914,550.846649321487,61.914713739702,65.9902331461232,4.14110633399411,4.9953784224731,222.6378543,324.3365642,231.1627294,299.6010222,277.1170597,299.9610004,241.6820585,275.4939177,247.5129174,261.3438806,297.9862145,255.2692811
"LOC100288748",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.541765465022,25.4405331084725,45.3121417356838,50.2634745190928,0,0,0,0,0,0.821105226,0,0,0,0,0,0,0,0,0,0
"LOC100288778",NA,NA,78.71842595335,71.5846839072053,75.2734216003597,84.5077810312099,95.418487308562,76.502417435823,100.072532249558,95.0025990714143,65.1519692527714,99.4154970777148,92.3855663448329,87.0266756345587,113.529542104442,149.372920842022,164.470782783713,141.27799699328,153.101603770661,209.083055300582,187.825612174114,216.69478494139,244.46487505894,116.06886874545,145.7938243524,166.144519697507,165.151416277019,64.6870143549125,59.8036487886742,103.527658349853,81.9242061285588,316.6156421,279.996882,308.6141594,230.3922755,292.6451708,226.9499651,292.6437705,264.2873854,243.9257737,253.2276111,285.3304294,341.2739851
"LOC100288814",NA,NA,4.19831605084533,0,3.76367108001799,0.982648616641976,2.5332341763335,3.42548137772342,2.48113716321218,2.06527389285683,0,0,0,0.508927927687478,0,0,0,0.784877761073775,0.643284049456558,2.01041399327483,0,1.01259245299715,0,0,0,0,0,0,1.03109739290818,1.03527658349853,0,0,0,0,0,0,0,2.316441455,0,0,0,0,1.82988732
"LOC100288842",NA,NA,17.8428432160927,27.1154105709111,10.3500954700495,30.4621071159012,20.265873410668,18.2692340145249,10.7515943739195,5.16318473214208,12.1469773183133,11.2243303152259,10.9609993968446,14.2499819752494,5.82202780022777,2.01855298435165,8.12201396462778,3.1395110442951,6.43284049456558,21.1093469293857,35.5345752761837,21.2644415129401,16.2976583372627,17.7054206560856,10.7633024689691,22.1526026263343,24.6188446624128,31.4194069723861,42.2749931092352,14.4938721689794,28.973194850344,24.61323012,11.49547316,16.68184645,16.39154529,5.972350425,25.5098798,20.07582594,19.61143143,25.11000611,19.479047,24.16104442,17.38392954
"LOC100288846",NA,NA,11.5453691398247,17.3538627653831,14.1137665500674,23.5835667994074,27.0211645475574,27.4038510217874,32.2547831217584,29.9464714464241,30.9195786284339,24.0521363897697,25.0537129070733,18.3214053967492,14.5550695005694,43.3988891635605,62.9456082258653,37.6741325315412,40.5268951157631,10.0520699663741,8.12218863455627,24.3022188719316,20.1324014754421,79.6743929523851,68.493742984349,72.499426777094,67.7018228216352,39.7363088180177,45.3682852879597,42.4463399234396,30.9713462193332,16.78174781,18.88542019,25.02276968,20.94475231,21.50046153,29.90813494,20.8479731,19.61143143,15.5442895,19.479047,13.8063111,19.21381685
"LOC100288911",NA,NA,24.1403172923607,39.046191222112,31.0502864101484,56.9936197652346,37.9985126450026,37.6802951549576,85.185709270285,78.4804079285596,82.8202998975907,30.4660394270416,34.4488552472258,29.5178198058737,29.1101390011389,209.929510372572,208.126607843587,175.027740719452,203.277759628272,5.02603498318707,7.10691505523674,4.0503698119886,6.71080049181404,0.983634480893644,5.87089225580134,4.02774593206078,7.1804963598704,0,3.09329217872453,1.03527658349853,0,538.1347132,638.8198656,647.0173303,447.1249298,553.0396494,644.7842032,498.80706,480.9470088,535.6801304,729.6526357,1113.709095,781.3618854
"LOC100288974",NA,NA,4.19831605084533,5.42308211418222,2.82275331001349,6.87854031649383,6.75529113688934,6.85096275544684,5.78932004749509,2.06527389285683,4.41708266120484,1.60347575931798,1.56585705669208,3.56249549381234,0,2.01855298435165,0,1.56975552214755,0,0,0,0,0,1.96726896178729,0,0,0,0,0,0,1.99815136898924,1.118783187,2.463315677,2.383120922,3.64256562,1.194470085,0,1.544294303,0.933877687,1.195714577,3.246507834,3.451577775,0.91494366
"LOC100289019",NA,NA,58.7764247118347,20.6077120338924,34.8139574901664,52.0803766820247,43.0649809976696,21.6947153922483,28.9466002374755,34.0770192321377,27.6067666325302,33.6729909456776,21.9219987936892,39.1874504319358,42.2097015516513,24.2226358122198,40.6100698231389,32.1799882040248,45.6731675114156,83.4321807209054,72.0844241316869,100.246652846718,107.372807869025,31.4763033885966,34.2468714921745,50.3468241507597,46.160333742024,12.0133026659123,8.2487791432654,27.9524677544602,26.9750434813547,38.03862837,29.55978813,29.78901152,39.15758041,28.66728204,35.1860411,23.9365617,22.41306449,37.06715188,17.85579309,37.96735552,27.44830979
"LOC100289092",NA,NA,45.1318975465873,48.80773902764,46.1049707302203,60.9242142318025,61.6420316241153,54.8077020435747,38.0441031692535,37.174930071423,50.7964506038556,81.777263725217,89.2538522314487,78.3749008638716,107.707514304214,109.001861154989,97.4641675755334,89.4760647624104,73.9776656875041,17.088518942836,11.1680093725149,15.1888867949572,14.3802867681729,4.91817240446822,4.89241021316779,10.0693648301519,11.2836371369392,23.1025051267545,25.7774348227044,16.5644253359764,20.980589374387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC100289178",NA,NA,54.5781086609893,40.1308076449484,45.1640529602158,49.1324308320988,41.3761582134472,33.1129866513264,57.893200474951,89.8394143392722,85.0288412281931,78.570312206581,57.9367110976071,71.2499098762469,74.2308544529041,38.3525067026814,60.9151047347084,36.8892547704674,49.5328718081549,140.728979529238,145.184121842693,113.410354735681,138.05075297446,27.541765465022,37.1823176200752,37.2566498715622,24.6188446624128,118.284826248983,102.078641897909,108.704041267345,95.9112657114835,15.66296462,16.42210451,15.49028599,18.2128281,8.361290595,20.23197363,11.58220728,14.0081653,15.5442895,14.60928525,19.55894072,20.12876051
"LOC100289187",NA,NA,0,5.42308211418222,3.76367108001799,0.982648616641976,4.22205696055584,2.28365425181561,2.48113716321218,7.22845862499891,7.72989465710847,4.81042727795394,1.56585705669208,3.56249549381234,10.1885486503986,25.2319123043957,23.3507901483049,14.127799699328,21.871657681523,3.01562098991224,2.03054715863907,8.10073962397719,8.62817206090376,8.85271032804279,7.82785634106846,9.06242834713675,10.257851942672,7.39280164056143,3.09329217872453,10.3527658349853,9.99075684494619,15.66296462,10.67436793,17.87340691,9.10641405,5.972350425,7.916859248,6.949324365,6.537143809,7.17428746,8.927896544,21.85999257,9.149436598
"LOC100289211",NA,NA,4.19831605084533,0,0,3.9305944665679,0,0,0,0,0,0,0,1.01785585537496,0,0,0,0,0,1.00520699663741,0,2.0251849059943,0.958685784544863,11.8036137707237,15.6557126821369,36.249713388547,52.3150449076272,4.62050102535089,5.15548696454088,1.03527658349853,0.999075684494619,0,0,0,0,0,0,0,0,0,0.811626959,0,0
