H3122_vitro_vehicle_rep1	H3122_vitro_vehicle_rep2	H3122_vitro_crizotinib_48h_rep1	H3122_vitro_crizotinib_48h_rep2
ABAT	146.561537653153	138.944450053965	1026.06827619248	931.412956394618
ABCA1	144.594268691366	104.697578561791	207.42891550113	221.569601961715
ABCA10	1.96726896178729	5.87089225580134	9.06242834713675	6.1547111656032
ABCA11P	64.9198757389805	71.4291891122497	86.5965375393067	68.7276080159024
ABCA12	1115.44150133339	882.590802455469	331.282102911999	445.190774311965
ABCA13	148.52880661494	123.288737371828	107.742203682626	166.177201471286
ABCA17P	7.86907584714915	5.87089225580134	21.1456661433191	10.257851942672
ABCA2	729.856784823084	639.927255882346	862.944565944022	940.645023143023
ABCA3	98.3634480893644	117.417845116027	412.84395803623	415.443003678216
ABCA4	29.5090344268093	29.3544612790067	25.1734120753799	26.6704150509472
ABCA5	192.792358255154	169.277393375605	323.226611047877	384.6694478502
ABCA6	0	0.978482042633557	0	0
ABCA7	925.600046520919	1044.04033949001	845.826645732763	870.891629932853
ABCA8	0	0	0	0
ABCA9	0	0	0	0
ABCB1	0.983634480893644	0	0	0
ABCB10	180.005110003537	170.255875418239	216.491343848267	207.208609241974
ABCB11	2.95090344268093	3.91392817053423	0	0
ABCB4	9.83634480893644	8.80633838370201	13.0901742791975	10.257851942672
ABCB5	0.983634480893644	4.89241021316779	9.06242834713675	3.0773555828016
ABCB6	590.180688536186	655.582968564483	588.050906080874	558.027145681357
ABCB7	255.744965032347	260.276223340526	245.692501855707	261.575224538136
ABCB8	426.897364707841	425.639688545597	326.247420496923	385.695233044467
ABCB9	117.052503226344	125.245701457095	86.5965375393067	92.320667484048
ABCC1	1100.68698411999	1001.96561165676	888.117978019402	878.072126292723
ABCC10	331.484820061158	363.01683781705	508.502923922673	491.351108053989
ABCC11	0	0	0	1.0257851942672
ABCC12	0	0	0	0
ABCC13	0	0	0	0
ABCC2	20.6563240987665	14.6772306395034	9.06242834713675	7.1804963598704
ABCC3	735.758591708445	711.356444994596	425.934132315427	463.654907808775
ABCC4	2672.53488458803	2363.03413296004	2447.86259020994	2672.17043106606
ABCC5	416.077385418011	453.037185739337	726.001204253955	764.209969729064
ABCC6	16.7217861751919	23.4835690232054	37.2566498715622	43.0829781592224
ABCC6P1	4.91817240446822	7.82785634106846	21.1456661433191	20.515703885344
ABCC6P2	0.983634480893644	7.82785634106846	4.02774593206078	7.1804963598704
ABCC8	1.96726896178729	1.95696408526711	1.00693648301519	1.0257851942672
ABCC9	17.7054206560856	11.7417845116027	19.1317931772887	17.4383483025424
ABCD1	259.679502955922	235.814172274687	178.227757493689	171.306127442622
ABCD2	0	0	0	0
ABCD3	1096.75244619641	1053.82515991634	1371.44748986669	1316.08240424482
ABCD4	485.91543356146	556.756282258494	753.188489295366	678.044013410619
ABCE1	2738.4383948079	2510.78492139771	1667.48681587316	1676.13300743261
ABCF1	1799.06746555447	2018.60845395303	1626.20242006954	1439.17662755688
ABCF2	1262.00303898654	1311.16593712897	979.749197973784	957.057586251298
