Colo800_vitro_vehicle_rep1	Colo800_vitro_vehicle_rep2	Colo800_vitro_vem_48h_rep1	Colo800_vitro_vem_48h_rep2
ABCB11	1.00520699663741	0	0	0
ABCB4	395.046349678504	366.513762134352	412.12512836984	437.160717752457
ABCB5	80.4165597309931	75.1302448696455	211.631822676404	189.819785339883
ABCB6	1323.85761457147	1197.00755001773	925.509502039394	1004.70270220302
ABCB7	394.041142681866	377.681771506867	449.591049130734	495.640550609694
ABCB8	500.593084325432	580.736487370773	545.787332165463	575.211470726918
ABCB9	315.634996944148	352.299932023878	222.770339659373	253.093047119844
ABCC1	761.94690345116	656.882005819739	540.724369900477	585.757014356911
ABCC10	568.947160096776	517.789525452962	740.205083140916	735.31199674591
ABCC11	8.04165597309931	6.0916414759172	10.1259245299715	7.6694862763589
ABCC12	0	0	0	0
ABCC13	0	0	0	0
ABCC2	79.4113527343557	101.527357931953	47.591845290866	58.4798328572366
ABCC3	26.1353819125728	26.3971130623079	8.10073962397719	2.87605735363459
ABCC4	529.744087227917	574.644845894856	905.257652979451	958.685784544863
ABCC5	1097.68604032806	1044.7165131198	979.176902048243	1011.41350269483
ABCC6	1.00520699663741	2.03054715863907	1.01259245299715	0
ABCC6P1	0	0	0	0
ABCC6P2	0	0	0	0
ABCC8	11.0572769630116	9.13746221387581	37.4659207608945	36.4300598127048
ABCC9	0	1.01527357931953	0	0
ABCD1	731.790693552038	803.081401241751	1117.90206810885	1112.07551007204
ABCD2	11.0572769630116	3.0458207379586	12.1511094359658	2.87605735363459
ABCD3	1228.36294989092	1301.58072868764	1644.45014366737	1670.9893224617
ABCD4	339.759964863446	334.025007596127	602.492509533304	596.302557986905
ABCE1	1819.42466391372	1826.47716919584	982.214679407234	958.685784544863
ABCF1	2519.04873357336	2417.36639235981	1982.65602296842	2073.63735197054
ABCF2	1543.99794683507	1495.49798233767	1249.53908699848	1226.15911843288
ABCF3	1196.19632599852	1156.39660684495	1279.9168605884	1299.01923805829
ABCG1	1.00520699663741	9.13746221387581	7.08814717098004	6.71080049181404
ABCG2	123.640460586402	137.061933208137	8.10073962397719	10.5455436299935
ABCG4	9.04686296973673	6.0916414759172	24.3022188719316	25.8845161827113
ABCG5	7.0364489764619	13.1985565311539	2.0251849059943	0
ABCG8	0	0	1.01259245299715	0
ABHD1	43.2239008554088	38.5803960141423	37.4659207608945	41.2234887354291
ABHD10	946.904990832444	926.944777918735	793.872483149765	784.204971757698
ABHD11	256.327784142541	259.910036305801	254.160705702284	277.060191733465
ABHD11-AS1	13.0676909562864	14.2138301104735	25.3148113249287	20.1324014754421
ABHD12	2573.32991139178	2634.63493833419	3356.74398168555	3390.87161993518
ABHD12B	1.00520699663741	0	3.03777735899145	0
ABHD13	640.316856858033	630.484892757431	546.79992461846	572.335413373283
ABHD14A	99.515492667104	114.725914463107	105.309615111703	134.216009836281
ABHD14A-ACY1	0	0	0	0
ABHD14B	643.332477847945	649.775090764502	1250.55167945148	1208.90277431107
ABHD15	482.499358385959	464.995299328347	669.323611431115	700.799308502295
ABHD16A	816.22808126958	766.531552386248	837.413958628642	803.378687448595
ABHD16B	63.3280407881571	74.114971290326	70.8814717098004	66.1493191335955
ABHD2	7121.89157117608	6735.32492520579	2996.26106841856	2846.3380943137
ABHD3	723.749037578938	738.103892165301	336.180694395053	333.622653021612
ABHD4	851.41032615189	812.218863455627	1679.89087952227	1701.66726756713
ABHD5	326.69227390716	346.208290547961	346.306618925025	310.614194192536
ABHD6	253.312163152628	214.222725236422	545.787332165463	557.95512660511
ABHD8	242.254886189617	237.574017560771	307.828105711133	261.721219180748
ABI1	753.905247478061	791.913391869237	1299.15611719534	1253.00232040014
ABI2	1752.07579513901	1686.36941524975	1351.81092475119	1304.77135276556
ABI3	0	1.01527357931953	1.01259245299715	0
ABI3BP	8.04165597309931	5.07636789659767	8.10073962397719	3.83474313817945
ABL1	1763.13307210202	1710.73598115341	1833.80493237784	1711.25412541258
ABL2	1945.0755384934	1856.93537657543	1242.4509398275	1173.43140028291
ABLIM1	1745.03934616255	1575.70459510392	1205.9976115196	1070.85202133661
ABLIM2	1.00520699663741	2.03054715863907	2.0251849059943	4.79342892272431
ABLIM3	324.681859913885	344.177743389322	679.449535961087	735.31199674591
ABO	0	0	0	0
ABP1	3.01562098991224	0	3.03777735899145	1.91737156908973
ABR	3097.04275663987	2919.92681412298	3333.45435526661	3211.59737822529
ABRA	1.00520699663741	0	0	0
ABT1	645.34289184122	624.393251281513	465.792528378688	502.351351101508
ABTB1	818.238495262855	927.960051498054	1561.4175625216	1570.32731508449
ABTB2	691.582413686541	686.324939620005	351.369581190011	354.713740281599
ACAA1	706.660518636102	602.057232536484	887.030988825502	878.156178643094
ACAA2	1010.2330316206	1057.91506965095	1618.12273988944	1556.90571410086
ACACA	2268.75219141064	1933.08089502439	2195.30043809782	2078.43078089326
ACACB	201.041399327483	169.550687746362	397.948834027879	388.267742740669
ACAD10	356.848483806282	361.437394237754	824.250256739679	836.932689907665
ACAD11	73.3801107545312	77.1607920282846	140.750350966604	107.372807869025
ACAD8	262.359026122365	238.589291140091	365.545875531971	336.498710375247
