UACC62_vitro_vehicle_rep1	UACC62_vitro_vehicle_rep2	UACC62_vitro_vem_48h_rep1	UACC62_vitro_vem_48h_rep2
ABHD14A	86.8654192765968	77.3323044681131	126.30374318682	96.9103413959781
ABHD14A-ACY1	0	0	0	0
ABHD14B	1159.74575736307	1141.42481394935	1010.42994549456	1002.0729115481
ABHD15	361.32318018244	382.537132768933	643.942034936084	625.421378493632
ABHD16A	403.831789615668	383.568230161841	560.084631672703	545.495323734062
ABHD16B	87.789519481667	70.1146227177559	67.2929779274042	55.9482383316987
ABHD2	3059.69577898736	3226.30374240968	3888.49884762047	5151.23422925426
ABHD3	85.9413190715266	94.8609601475521	107.668764683847	116.89185508587
ABHD4	417.693292691721	420.687736306535	1799.31070212044	1888.25304369483
ABHD5	171.882638143053	187.659725509288	255.713316124136	229.787407433762
ABHD6	192.212842654597	185.597530723472	367.523187141977	376.651533054471
ABHD8	123.829427479404	108.265226255358	244.325273705652	179.833623209031
ABI1	586.803630219564	640.311480995977	1411.08198330849	1484.626467159
ABI2	1472.0916266768	1513.6509727892	779.563267374391	935.134840686964
ABI3	0.924100205070179	0	2.07055316699705	2.99722705348386
ABI3BP	42.5086094332282	39.1817009305107	38.3052335894455	48.9547085402363
ABL1	1357.50320124809	1272.37418284869	1485.62189732039	1774.35841566244
ABL2	817.828681487108	858.90412829251	926.572542231181	1434.67268293427
ABLIM1	330.827873415124	314.484704836993	103.527658349853	155.855806781161
ABLIM2	0.924100205070179	2.06219478581635	1.03527658349853	1.99815136898924
ABLIM3	717.101759134459	691.866350641385	1589.14955567024	1551.56453802014
ABO	0	0	1.03527658349853	0
ABP1	2.77230061521054	5.15548696454088	0	0.999075684494619
ABR	2013.61434684792	2054.97710406599	2293.13763244924	2541.64854135431
ABRA	0.924100205070179	0	0	0
ABT1	283.698762956545	271.17861433485	258.819145874632	222.7938776423
ABTB1	174.654938758264	203.12618640291	553.872972171712	438.594225493138
ABTB2	815.980481076968	769.198655109499	325.076847218537	420.610863172235
ACAA1	901.921800148495	872.308394400316	1539.45627966231	1277.81780046862
ACAA2	659.807546420108	653.715747103783	934.85475489917	856.207861611889
ACACA	2382.33032867092	2321.0002314363	1035.27658349853	1377.72536891808
ACACB	327.131472594843	291.800562193014	648.083141270078	682.368692509825
ACAD10	459.277801919879	468.118216380311	730.90526794996	815.245758547609
ACAD11	84.0931186613863	62.8969409673987	44.5168930904366	57.9463897006879
ACAD8	300.332566647808	272.209711727758	463.80390940734	422.609014541224
ACAD9	913.935102814407	1007.38215287129	931.748925148674	987.086776280684
ACADL	0.924100205070179	0	0	0.999075684494619
ACADM	377.956983873703	362.946282303678	454.486420155853	411.619182011783
ACADS	407.528190435949	435.12309980725	1117.06343359491	978.095095120232
ACADSB	355.778578952019	368.101769268219	376.840676393464	434.597922755159
ACADVL	4409.80617859489	4468.77610086403	6996.39915128304	6189.27386544417
ACAN	36.039907997737	31.9640191801534	817.868500963836	1071.00913377823
ACAP1	40.6604090230879	34.0262139659698	50.7285525914278	43.9593301177633
ACAP2	1692.95157568857	1804.42043758931	1822.08678695741	2477.70769754666
ACAP3	973.077515938899	1008.4132502642	1984.62521056668	1554.56176507363
ACAT1	1551.56424431283	1544.58389457645	1899.7325307198	1647.47580373163
ACAT2	681.061851136722	659.902331461232	223.619742035682	163.848412257118
ACBD3	1488.72543036806	1559.01925807716	1443.17555739695	1522.5913431698
ACBD4	146.931932606158	168.068875044033	393.40510172944	354.67186799559
ACBD5	396.438987975107	413.470054556178	525.920504417252	554.487004894514
ACBD6	538.750419555914	534.108449526435	583.895993093169	484.55170697989
ACBD7	17.5579038963334	16.4975582865308	1.03527658349853	3.99630273797848
ACCN1	0	0	0	0
ACCN2	611.754335756459	610.40965660164	620.130673515617	558.483307632492
ACCN3	24.0266053318247	24.7463374297962	75.5751905953924	69.9352979146233
ACCN4	12.9374028709825	20.6219478581635	28.9877443379587	26.9750434813547
ACCN5	6.46870143549125	5.15548696454088	4.14110633399411	2.99722705348386
ACCS	143.235531785878	155.695706329134	274.34829462711	265.754132075569
ACCSL	0.924100205070179	1.03109739290818	5.17638291749263	8.99168116045157
ACD	267.989059470352	254.681056048319	219.478635701688	165.846563626107
ACE	0	3.09329217872453	0	0
ACE2	2.77230061521054	1.03109739290818	4.14110633399411	1.99815136898924
ACER1	0	0	0	0
ACER2	11.0892024608421	16.4975582865308	9.31748925148674	15.9852109519139
ACER3	235.645552292896	192.815212473829	273.313018043611	297.724553979397
ACHE	93.3341207120881	101.047544505001	313.688804800054	249.768921123655
ACIN1	1939.68633044231	1881.75274205742	2490.87545989746	2537.65223861633
ACLY	8474.92298069861	8144.63830658167	3214.53379176292	3753.52734664628
ACMSD	2.77230061521054	3.09329217872453	9.31748925148674	12.9879838984301
ACN9	590.500031039844	524.828572990261	253.642762957139	227.789256064773
ACO1	1005.42102311635	978.511425869858	859.279564303777	901.166267414147
ACO2	2431.30763953964	2383.8971724037	3432.97715088111	3372.87951085383
ACOT1	40.6604090230879	56.7103566099496	65.2224247604072	58.9454653851825
ACOT11	0	1.03109739290818	0	0
ACOT12	1.84820041014036	1.03109739290818	1.03527658349853	0
ACOT13	572.018026938441	659.902331461232	709.164459696491	594.450032274298
ACOT2	281.850562546405	254.681056048319	486.579994244307	402.627500851332
ACOT4	0	1.03109739290818	0	0
ACOT6	0.924100205070179	0	0	0
ACOT7	1889.78491936852	1888.97042380778	1208.16777294278	1061.01837693329
ACOT8	353.930378541879	368.101769268219	626.342333016609	541.499020996084
ACOT9	749.445266311915	787.758408181846	955.56028656914	882.183829408749
ACOX1	720.79815995474	713.519395892457	1021.81798791305	1097.98417725959
ACOX2	133.070429530106	101.047544505001	68.3282545109028	81.9242061285588
ACOX3	186.668241424176	149.509121971685	113.880424184838	128.880763299806
ACOXL	2.77230061521054	0	7.24693608448969	9.99075684494619
ACP1	1318.69099263515	1383.73270128277	1200.92083685829	977.096019435738
ACP2	368.715981823001	341.293237052606	725.728885032467	661.388103135438
ACP5	838.158885998652	811.473648218734	986.618584074096	790.268866435244
ACP6	352.082178131738	377.381645804392	188.420338196732	177.835471840042
ACPL2	332.676073825264	348.510918802963	240.184167371658	284.736570080966
ACPP	402.907689410598	372.226158839851	19.670255086472	31.9704219038278
ACPT	0	1.03109739290818	2.07055316699705	0.999075684494619
ACR	0.924100205070179	0	5.17638291749263	2.99722705348386
ACRBP	1.84820041014036	3.09329217872453	2.07055316699705	2.99722705348386
ACRC	15.709703486193	27.8396296085207	35.1994038389499	45.9574814867525
ACRV1	5.54460123042107	7.21768175035723	6.21165950099116	13.9870595829247
ACSBG1	0.924100205070179	0	4.14110633399411	4.9953784224731
ACSBG2	6.46870143549125	2.06219478581635	0	1.99815136898924
ACSF2	522.116615864651	540.295033883884	1463.88108906692	1259.83443814771
ACSF3	247.658854958808	277.365198692299	297.124379464077	260.758753653096
ACSL1	1553.41244472297	1555.92596589844	1118.09871017841	1180.90745907264
ACSL3	7341.0520290775	7405.34147586651	2603.72060749879	2835.37679259573
ACSL4	1720.67458184067	1743.58569140772	956.595563152639	1087.99342041464
ACSL5	2.77230061521054	1.03109739290818	4.14110633399411	0
ACSL6	48.0532106636493	55.6792592170415	27.9524677544602	50.9528599092256
ACSM1	0	0	0	0
ACSM2A	0	0	0	0
ACSM2B	0	0	0	0
ACSM3	135.842730145316	144.353635007145	121.127360269328	96.9103413959781
ACSM4	0	0	0	0
ACSM5	3.69640082028072	1.03109739290818	5.17638291749263	7.99260547595695
ACSS1	1063.63933603578	1131.11384002027	608.742631097134	598.446335012277
ACSS2	3265.77012471801	3193.30862583662	878.949819390249	904.16349446763
