A375_vivo_vehicle_rep1	A375_vivo_vehicle_rep2	A375_vivo_vehicle_rep3	A375_vivo_vehicle_rep4	A375_vivo_vem_rep1	A375_vivo_vem_rep2	A375_vivo_vem_rep3	A375_vivo_vem_rep4
AANAT	6.41390303727192	3.13171411338417	2.54463963843739	10.1885486503986	1.00927649217583	5.07625872789236	1.56975552214755	5.14627239565246
AARS	474.628824758122	577.801253919379	567.963567299225	585.113793922891	476.37850430699	426.405733142959	463.077879033528	405.268951157631
AARS2	296.643015473826	223.917559106968	261.588954831364	270.724292710591	208.920233880396	228.431642755156	240.957472649649	218.71657681523
AARSD1	487.456630832666	512.035257538311	528.776116867289	653.522620575568	835.680935521584	756.362550455962	809.993849428136	779.660267941348
AASDH	120.260681948849	151.888134499132	147.080171101681	141.184174155523	128.17811450633	114.723447250367	109.098008789255	117.72098105055
AASDHPPT	998.965398055102	920.723949334945	863.141765357962	873.304170034166	727.688350858771	642.654354951173	617.698797965061	634.278072764166
AASS	437.748882293809	411.820405910018	415.285188992982	452.662661467709	282.597417809231	299.49926494565	343.776459350314	309.419627788604
AATF	1212.22767404439	1124.28536670492	1226.51630572682	1419.11927630552	1493.72920842022	1398.00165366156	1678.85353093681	1383.0607063316
AATK	24.0521363897697	26.6195699637654	21.8839008905615	21.8326042508541	295.718012207517	249.751929412304	260.579416676493	254.740483584797
AATK-AS1	0	0	0	0	0	0	0	0
ABAT	65.7425061320372	40.7122834739942	49.3660089856853	46.5762224018222	135.243049951561	149.242006600036	167.963840869788	245.734506892405
ABCA1	101.018972837033	70.4635675511437	80.9195405023089	87.3304170034166	272.504652887473	265.99595734156	266.07356100401	275.325573167407
ABCA10	8.0173787965899	9.3951423401525	5.59820720456225	1.45550695005694	5.04638246087913	6.09151047347084	0.784877761073775	3.85970429673935
ABCA11P	48.1042727795394	50.1074258141467	75.3213332977467	65.4978127525624	30.2782947652748	51.7778390245021	47.0926656644265	44.3865994125025
ABCA12	0	1.56585705669208	0.508927927687478	0	0	4.06100698231389	0.784877761073775	3.21642024728279
ABCA13	3.20695151863596	4.69757117007625	1.52678378306243	1.45550695005694	2.01855298435165	6.09151047347084	3.92438880536888	7.07612454402213
ABCA17P	4.81042727795394	12.5268564535367	13.2321261198744	17.4660834006833	28.2597417809231	18.2745314204125	21.1916995489919	20.5850895826098
ABCA2	806.548306936944	773.533386005889	852.454278876525	887.859239534735	919.450884372178	1254.85115753499	1151.41567549523	1057.55897730658
ABCA3	38.4834182236315	42.2781405306863	37.1517387211859	30.5656459511958	103.95547869411	92.387908847641	110.667764311402	90.0597669239181
ABCA4	4.81042727795394	3.13171411338417	3.56249549381234	5.82202780022777	1.00927649217583	2.03050349115695	0.784877761073775	0
ABCA5	113.846778911577	78.2928528346042	107.383792742058	106.252007354157	41.3803361792089	60.9151047347084	43.1682768590576	64.3284049456558
ABCA6	22.4486606304517	12.5268564535367	10.687486481437	13.0995625505125	10.0927649217583	17.259279674834	18.0521885046968	9.00597669239181
ABCA7	27.2590879084057	23.4878558503812	22.9017567459365	21.8326042508541	54.5009305774946	51.7778390245021	42.3833990979839	52.1060080059812
ABCA8	30.4660394270416	57.9367110976071	57.508855828685	64.0423058025055	7.06493544523079	12.1830209469417	7.06389984966398	6.43284049456558
ABCA9	3.20695151863596	4.69757117007625	9.66963062606207	10.1885486503986	3.02782947652748	2.03050349115695	2.35463328322133	1.28656809891312
ABCB1	12.8278060745438	21.9219987936892	16.2856936859993	17.4660834006833	1.00927649217583	6.09151047347084	0.784877761073775	3.85970429673935
ABCB10	439.352358053127	391.464264173021	368.463819645734	379.887313964862	536.93509383754	612.196802583819	539.211021857684	589.891473351663
ABCB11	0	0	0	0	0	0	0	0
ABCB4	8.0173787965899	7.82928528346042	3.56249549381234	2.91101390011389	13.1205943982857	24.3660418938834	25.1160883543608	19.9418055331533
