id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
21	AAGAB	1830.329295	1945.19828	1899.347375	1696.524937	2101.07288	1943.14912	1930.367879	1832.268022	1807.92044	1692.242209	1924.829872	1839.036756
22	AAK1	227.1129871	247.1526729	253.8023782	323.2776988	332.0626836	293.8034432	238.5934699	265.2212631	245.1214882	241.0532067	248.5135998	282.7175909
23	AAMP	2677.248168	2538.036253	2340.224745	2097.207156	2440.302384	2322.278713	3499.370892	3072.45759	2705.902087	2600.452775	2329.814998	2525.244501
24	AANAT	3.356349562	2.463315677	1.191560461	0	1.194470085	5.277906166	3.088588607	1.867755374	0	0.811626959	1.150525925	0.91494366
25	AARS	1729.638808	1642.210451	1647.928118	1827.6573	1982.820341	1755.783451	2121.860373	2033.985602	1776.831861	2115.911481	2174.493998	1835.376981
26	AARS2	302.0714606	268.5014088	313.3804012	334.2053956	293.8396409	243.6633346	322.7575094	322.187802	308.4943608	342.5065765	276.126222	261.6738867
27	AARSD1	1830.329295	1656.990346	1680.10025	1361.4089	1570.728162	1683.652067	1863.191077	1761.293318	1754.113284	1844.828077	2220.515035	2068.687615
28	AASDH	189.0743587	169.9687817	212.0977621	154.8090388	158.8645213	170.6522994	220.0619382	166.2302283	167.4000407	187.4858274	169.127311	210.4370417
29	AASDHPPT	1452.180577	1334.295992	1285.693737	1202.957296	1742.731854	1390.728275	1555.876511	1538.09655	1451.597496	1171.989328	1325.405865	1424.567278
30	AASS	274.1018809	284.9235133	291.9323129	439.8397986	378.647017	307.8778597	338.2004524	350.2041326	395.7815249	364.4205044	320.996733	298.2716331
31	AATF	4476.251533	3771.336302	3791.545387	2913.141854	3467.546657	3610.967468	3348.03005	3229.349041	3606.275163	4384.40883	4590.59844	4119.076356
32	AATK	3.356349562	2.463315677	2.383120922	24.58731793	1.194470085	9.676161304	0.772147152	1.867755374	0	0	1.150525925	0.91494366
33	AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
34	ABAT	8.9502655	3.284420903	10.72404415	10.92769686	9.555760681	5.277906166	3.088588607	1.867755374	3.58714373	4.058134793	4.6021037	5.489661959
35	ABCA1	29.08836287	45.16078742	39.32149521	92.88542331	60.91797434	52.77906166	19.30367879	32.68571904	38.26286646	28.40694355	29.91367405	53.98167593
36	ABCA10	77.19603993	75.54168077	88.17547411	80.13644364	106.3078376	83.56684762	71.03753796	68.17307115	94.46145156	157.45563	119.6546962	110.7081828
37	ABCA11P	303.1902438	244.6893573	308.6141594	197.6091849	199.4765042	246.3022877	210.7961724	211.0563573	241.5343445	236.9950719	286.4809553	301.0164641
38	ABCA12	0	0	0	0	0	2.638953083	0	0	0	0	0	0
39	ABCA13	49.22646025	60.7617867	94.13327642	65.56618116	57.33456408	87.08545173	77.98686232	61.63592734	55.00287053	50.32087143	57.52629624	49.40695763
40	ABCA17P	4.47513275	0.821105226	0	3.64256562	1.194470085	2.638953083	1.544294303	0	5.978572884	4.869761751	2.30105185	0.91494366
41	ABCA2	554.916461	517.2962922	494.4975913	776.7771184	406.1198289	448.6220241	442.4403179	680.7968338	577.5301406	536.4854196	441.8019552	638.6306745
42	ABCA3	80.5523895	54.1929449	81.02611135	80.13644364	58.52903417	71.25173324	54.05030062	65.37143809	78.91716206	38.95809401	85.13891844	65.8759435
43	ABCA4	1.118783187	0.821105226	0	1.82128281	1.194470085	3.51860411	2.316441455	0	1.195714577	0	0	0.91494366
44	ABCA5	33.56349562	48.44520832	42.8961766	54.6384843	45.38986323	40.46394727	36.29091613	38.28898517	51.4157268	43.0162288	39.11788145	56.7265069
45	ABCA6	0	0.821105226	0	10.92769686	3.583410255	6.157557193	0.772147152	0	3.58714373	0	0	0.91494366
46	ABCA7	11.18783187	14.77989406	16.68184645	24.58731793	9.555760681	17.59302055	20.8479731	15.87592068	21.52286238	22.72555484	27.6126222	28.36325345
47	ABCA8	0	0.821105226	1.191560461	14.57026248	5.972350425	7.916859248	4.63288291	0	1.195714577	6.493015668	2.30105185	1.82988732
48	ABCA9	2.237566375	0.821105226	1.191560461	5.46384843	0	1.759302055	0	0	0	0	0	2.744830979
49	ABCB1	78.31482312	105.1014689	69.11050674	83.77900926	123.0304188	75.64998837	78.75900947	54.16490584	86.09144952	168.0067804	106.998911	73.19549278
50	ABCB10	783.1482312	844.9172773	848.3910482	975.2969447	946.0203074	774.9725553	1097.221103	1130.925879	929.0702261	860.324576	918.1196881	863.7068148
51	ABCB11	0	0	0	0	0	0	1.544294303	0	0	0.811626959	0	0
52	ABCB4	5.593915937	7.389947032	4.766241844	10.01705545	5.972350425	11.43546336	3.088588607	3.735510748	2.391429153	10.55115046	10.35473332	10.06438026
53	ABCB5	3.356349562	0	0	0.910641405	0	2.638953083	0.772147152	0	0	1.623253917	1.150525925	0.91494366
54	ABCB6	297.5963279	198.7074646	160.8606622	234.9454825	166.0313418	175.0505545	219.2897911	312.8490251	275.0143526	219.9509058	164.5252073	255.2692811
55	ABCB7	1134.446152	839.9906459	1099.810305	709.3896545	745.3493331	804.0010392	637.0214002	790.0605232	856.1316369	831.1060055	1056.182799	1137.274969
56	ABCB8	458.7011069	498.410872	405.1305567	502.6740555	413.2866494	445.983071	660.9579619	660.2515247	584.704428	563.2691092	503.9303551	548.0512522
57	ABCB9	1600.978741	1602.797401	1383.401695	938.8712885	1065.467316	1122.434711	1022.322829	1659.50065	1566.386096	1085.145244	1225.31011	1667.027348
58	ABCC1	584.0048239	569.0259214	502.8385145	659.3043772	652.1806664	394.0836604	491.0855885	681.7307115	646.881586	641.1852972	576.4134884	603.8628154
59	ABCC10	148.7981639	108.3858898	157.2859809	172.1112255	111.0857179	121.3918418	86.48048099	161.5608398	144.6814638	147.7161065	133.4610073	125.3472814
60	ABCC11	5.593915937	2.463315677	3.574681383	2.731924215	1.194470085	1.759302055	3.088588607	0.933877687	1.195714577	2.434880876	1.150525925	1.82988732
61	ABCC12	0	0.821105226	0	0	0	0	0	0	0	0	1.150525925	0
