A375_vitro_vehicle_rep1	A375_vitro_vehicle_rep2	A375_vitro_vehicle_rep3	A375_vitro_vem_6h_rep1	A375_vitro_vem_6h_rep2	A375_vitro_vem_6h_rep3	A375_vitro_vem_48h_rep1	A375_vitro_vem_48h_rep2	A375_vitro_vem_48h_rep3
AARSD1	469.161818681966	376.361898724246	512.80018465245	434.330688555753	415.450404918695	406.490456823179	285.330773769401	325.280638124951	277.171936990604
AASDH	221.461171682091	242.954078715364	191.947225080917	291.846639142667	296.38839863102	242.067350692455	296.082368143321	261.257147446389	261.712147676387
AASDHPPT	1275.23850044427	1226.70117422802	968.204385334627	1105.47969372222	962.628987006732	831.250147660883	763.363200548282	677.409836857041	682.439271156148
AASS	655.986882944583	712.592989803544	459.167871762194	790.049487780149	805.568468074054	565.204427324364	903.133927409235	810.620002946307	734.339992425304
AATF	1773.78853148215	1601.97845652943	1842.3169936688	1312.81855183368	1514.02962605532	1702.46424472854	949.448487789196	1135.90064107126	1077.76816933398
AATK	128.048639550783	93.2770123639342	47.0458885002248	219.130641511161	92.8852531322285	39.9639494067732	692.237268536199	197.233656767827	216.437050399037
AATK-AS1	0	0	0	0	0	0	1.65409144214146	1.03263694642842	2.20854133060242
ABAT	219.362013656669	231.023298064163	206.060991630985	334.100529658272	471.181556798032	419.050555208165	1372.89589697741	1204.05467953553	1291.99667840242
ABCA1	390.443392728616	236.446380178345	250.284126821196	386.180906340296	136.794645522009	158.713970501185	655.020211088016	210.657937071397	269.442042333495
ABCA10	409.33581495742	597.623648982881	466.69521392223	259.419234793482	210.258436635681	158.713970501185	95.1102579231337	73.3172231964175	46.3793679426508
ABCA11P	70.3217938516593	60.7385196788409	47.0458885002248	92.3689699643457	71.7749683294493	65.084146176745	52.9309261485266	66.0887645714186	35.3366612896387
ABCA12	2.09915802542267	1.08461642283644	7.52734216003597	2.94794584992593	5.91087974477818	11.4182712590781	2.48113716321218	7.22845862499891	20.981142640723
ABCA13	8.39663210169067	3.25384926850933	9.40917770004496	13.7570806329877	9.28852531322285	30.8293323995108	4.96227432642437	1.03263694642842	7.72989465710847
ABCA17P	2.09915802542267	1.08461642283644	6.58642439003147	1.96529723328395	6.75529113688934	3.42548137772342	1.65409144214146	2.06527389285683	3.31281199590363
ABCA2	795.580891635191	1200.67038007994	882.580868264218	865.713431261581	917.87518322484	759.315038728691	810.504806649313	818.881098517734	772.989465710847
ABCA3	16.7932642033813	26.0307941480747	25.4047797901214	19.6529723328395	21.9546961948904	25.1201967699717	47.1416061010315	59.8929428928481	44.1708266120484
ABCA4	0	0	0.940917770004496	0.982648616641976	0.844411392111168	0	0	0	0
ABCA5	228.808224771071	254.884859366564	191.006307310913	231.905073527506	205.191968283014	183.834167271157	417.658089140718	687.736206321325	700.107601800967
ABCA6	44.082318533876	121.477039357682	55.5141484302653	19.6529723328395	32.0876329002244	17.1274068886171	47.1416061010315	22.7180128214252	17.6683306448194
ABCA7	68.2226358262367	91.1077795182613	103.500954700495	65.8374573150124	112.306715150785	108.473576961242	272.92508795334	276.746701642816	292.631726304821
ABCA8	30.4377913686287	95.4462452096071	27.2866153301304	48.1497822154568	38.8429240371137	18.2692340145249	181.123012914489	51.6318473214208	35.3366612896387
ABCA9	4.19831605084533	2.16923284567289	2.82275331001349	4.91324308320988	3.37764556844467	0	27.292508795334	16.5221911428547	19.8768719754218
ABCB1	81.867162991484	110.630875129317	108.205543550517	102.195456130765	81.0634936426721	116.466366842596	52.9309261485266	57.8276689999913	60.7348865915665
