"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OR8B3|390271",0.0226320571401236,0.015989147870606,7.18728858956481,0.00222464252984366,0.998224993536227,NA
"OR8A1|390275",1.63082595748913,-0.409016101623935,1.39896158363677,-0.2923712176289,0.770002812290626,0.84602805710704
"OR6C1|390321",0.0655494287243678,0.15054666325844,4.6330432963458,0.0324941196593565,0.97407800538713,NA
"OR6C75|390323",0.0252411297433961,-0.867877241569628,7.13137218925764,-0.121698492034528,0.903137807543846,NA
"OR6C76|390326",0.0238042645202875,0.0343282079259845,7.16801684747511,0.00478908025140544,0.996178881413374,NA
"OR6C70|390327",1.04283203698977,0.0553212156373196,2.92753238492289,0.0188968757176624,0.984923371913131,0.991177809106304
"OR4N2|390429",0.217126615063743,0.629171371389157,2.47954530048522,0.253744656839315,0.799692831667173,NA
"OR4K2|390431",0.125520724449775,-1.04640881800594,3.84596599430099,-0.272079581451455,0.785560829155934,NA
"OR4K13|390433",0.0089393331954213,-0.904585890770921,10.1405667741761,-0.0892046678371603,0.928919255772086,NA
"OR4K17|390436",0.00904023586132443,-0.904585890770921,10.1405667741761,-0.0892046678371603,0.928919255772086,NA
"OR4N5|390437",0.00895760187087665,-0.315400378267924,10.1405667741761,-0.031102835304149,0.975187528519204,NA
"OR11G2|390439",0.0229405271156168,-1.41918640595334,6.69034076712976,-0.212124681739073,0.832009764593363,NA
"OR11H4|390442",0.250318642871877,-0.374557476872778,2.22679413191722,-0.1682048068585,0.866422159499508,NA
"RNASE9|390443",0.0154605606959168,-0.00858265034623426,10.1405667741761,-0.000846367913881382,0.999324696189379,NA
"OR5AU1|390445",0.677134076839458,-0.811523229398711,1.22473009870339,-0.662613934496963,0.507577843439477,0.635898278966777
"GOLGA8E|390535",0.0302218217675206,-1.14422987520594,7.59903065039844,-0.150575767864016,0.880310377856532,NA
"OR4M2|390538",0.0840848500569882,-0.653900856148407,4.25567111846537,-0.153653992036915,0.877882562902906,NA
"OR4N3P|390539",0.200912939327802,-0.824890048084852,3.01944844509324,-0.273192294250077,0.784705403064199,NA
"KBTBD13|390594",0.095159493649438,-0.0340270460008561,2.38363427802225,-0.0142752796914336,0.988610361571316,NA
"LOC390595|390595",202.439901752843,3.01677933421431,0.723705625474706,4.16851718160335,3.06587653695508e-05,0.000279746026276234
"LBXCOR1|390598",11.4932146628609,1.83792025511842,0.456449468713872,4.02655798964361,5.65992855342441e-05,0.000465627843203229
"ANKRD34C|390616",1.99714795106184,2.85791576341607,1.13468914109276,2.51867728342209,0.0117796566344346,0.0353312871009985
"C15orf58|390637",134.31761882488,0.290937000016129,0.21265807666541,1.36809757982473,0.171281534172479,0.286585757786315
"OR4F6|390648",0.0270955365207184,-1.40703624396734,6.62397938597418,-0.212415552944903,0.831782853128181,NA
"OR4F15|390649",0.514995895910076,1.55163930830918,0.997113634477626,1.55613087080296,0.11967697551896,0.217772080786554
"C1QTNF8|390664",0.168477491597661,-0.43936406226017,2.39188415744146,-0.183689523965135,0.854257027731862,NA
"PTX4|390667",2.02161284275434,2.3310747405444,0.875758029663389,2.66177946600202,0.00777287863196899,0.0253514366019627
"PABPN1L|390748",0.194512053933095,-1.87154272473959,1.66505106459702,-1.12401521162508,0.261006572771514,NA
"OR3A4|390756",0.043103278888891,-0.51209188712643,4.90071778377456,-0.10449324154553,0.916777931385391,NA
"ARL5C|390790",0.654382503711094,-0.306329321606717,0.744277673890634,-0.411579350493496,0.6806477694472,0.778929682654052
"KRT39|390792",0.449384739239449,-0.039506380508151,1.39652759704586,-0.0282890081024683,0.977431647356415,0.98669671982213
"LOC390858|390858",0.0739927099698008,-0.395922889127233,2.81177075444924,-0.140809092811261,0.888020759615236,NA
"ONECUT3|390874",0.00951410054027464,-0.609993134519423,10.1405667741761,-0.0601537515706547,0.952033179870866,NA
"OR7G2|390882",0.0385026529784558,0.0771064063726666,7.48668732260994,0.0102991353919381,0.991782624153919,NA
"OR7G3|390883",0.0405374635832772,-0.79452709813335,7.4633968973291,-0.106456498168774,0.915220168644666,NA
"OR7A10|390892",0.0100741656052749,-0.898473404935826,10.1405667741761,-0.0886018922752793,0.929398304183827,NA
"NUDT19|390916",1275.32551857453,0.0506113881114687,0.182811901037171,0.27684952579306,0.781895650753229,0.855212896634894
"ZNF793|390927",77.1061867252526,-0.317295556153162,0.518206372211988,-0.612295743872796,0.540342105103023,0.664056188092604
"PAPL|390928",99.3242940485251,4.60153774832737,1.16943777207742,3.93482907615774,8.32559248170877e-05,0.000638387968741279
"ZNF805|390980",628.023207328111,0.31212258324059,0.154196579811508,2.02418616302731,0.0429510007449528,0.0982446728056959
"HES3|390992",0.171497145286724,-1.25002302754695,1.91315582840052,-0.653382755858431,0.513509552988962,NA
"PRAMEF12|390999",0.789270865533283,-0.195237826232982,1.19630138347631,-0.163201204085917,0.870360018195096,0.916916129356783
"PRAMEF8|391002",1.15026638143527,-0.542043893469689,1.1073453275613,-0.48949851503273,0.624488805593397,0.734534760520186
"PRAMEF18|391003",0.101661640172695,-0.899611213823836,2.38814705621928,-0.376698416239085,0.706397739963545,NA
"PRAMEF17|391004",0.0187834865900947,0.00364232132395688,10.1405667741761,0.000359183209880576,0.999713413268499,NA
"PLA2G2C|391013",0.0681071672337673,-0.414263342371886,2.96846704155145,-0.139554637654112,0.889011883686933,NA
"SKINTL|391037",1.52038161393069,2.47357916022452,1.07326525757323,2.30472303353744,0.0211820900360513,0.056502979439264
"UOX|391051",4.89469318462878,4.7421242716392,0.969118449602144,4.89323495346313,9.9191869844246e-07,1.59078853163462e-05
"FRRS1|391059",155.320897530818,2.65461661996814,0.391976415549176,6.7723886301907,1.26673311005399e-11,1.00006676220786e-09
"VHLL|391104",0.531280994347096,0.640286654889345,0.857820952817059,0.746410603269438,0.455419415982896,0.58925512815681
"OR10K2|391107",0.0181354449791259,-1.43753668012048,9.48016294499766,-0.151636283939509,0.879473813863588,NA
"OR10K1|391109",0.0342932454437076,-0.530434570571415,5.19576211034822,-0.102089849247518,0.918685358043923,NA
"OR6Y1|391112",0.0149914849182456,0.00366462350208433,9.66527380676157,0.000379153614822651,0.999697479191809,NA
"OR6K3|391114",0.249592131820274,-0.642597268621813,1.49217489219733,-0.430644740091788,0.666726704749787,NA
"VSIG8|391123",5.75436362757335,1.87208487468419,0.817696510758912,2.2894617380068,0.022052538568134,0.0583930397237405
"OR11L1|391189",0.0617471818976823,-0.137971243348104,4.11296796856874,-0.0335454213119282,0.973239645227221,NA
"OR2L8|391190",0.125950967346556,-1.52860290862329,1.84068617284585,-0.830452757875585,0.406282847450635,NA
"OR2AK2|391191",0.281424477831393,-1.18687102938372,1.02453601178674,-1.15844735151269,0.246681525080019,NA
"OR2L3|391192",0.384452027671159,1.4617625579898,1.20950136512596,1.20856627378636,0.226829520044026,0.353424446993889
"OR2M2|391194",0.0589480791069924,0.126089426896242,4.85738213297831,0.025958309114735,0.979290591742172,NA
"OR2T33|391195",0.289609610762808,-0.347585020000061,1.45996397435053,-0.238077806101131,0.811820748047242,NA
"OR2M7|391196",0.0438614323447421,-0.199114839704356,4.9069559656492,-0.0405780775491456,0.967632261340695,NA
"OR2G6|391211",0.046957378793343,-1.36429047654477,4.6595602236789,-0.292793828398598,0.769679745862018,NA
"SPINT4|391253",0.0103930389792018,-1.46214707261343,10.1371488221906,-0.144236520372744,0.885313703363943,NA
"C21orf81|391267",4.41453616161246,2.75452230318137,0.739531187469523,3.72468713943844,0.00019555759835494,0.00128428490601182
"C2orf79|391356",936.526628426329,-0.144193879022597,0.213457138962951,-0.675516779261359,0.499347494589963,0.628540930818555
"SULT6B1|391365",0.0709639881005293,0.162803445361635,3.04504129383756,0.0534651026543091,0.957361334910393,NA
"DYTN|391475",0.0448072165322078,-0.782273179122941,4.13261758294455,-0.189292419010994,0.84986363667049,NA
"VENTXP7|391518",0.715852092688126,0.729699287505039,1.22499216131876,0.595676699448824,0.551391226925286,0.673987747975988
"USP17L6P|391622",0.0131341957079909,-0.303175406597733,10.1405667741761,-0.029897284180387,0.976148971792847,NA
"USP17|391627",0.0382691665464744,-1.38260705612865,5.74292839422356,-0.240749485492336,0.809749282852887,NA
"TRIM61|391712",18.4427258174246,-0.628466214695976,0.740110007644762,-0.84915243437382,0.395796476838879,0.53190211801952
"HELT|391723",0.143419711332216,-0.261299080348831,2.69226463725698,-0.0970554962290246,0.922682322808843,NA
"OR2A25|392138",1.50106987432487,-0.73732338431907,0.685186288286646,-1.07609185549056,0.28188617778,0.415721658002332
"LOC392196|392196",0.122228760847393,-0.242891694249284,2.00015063231112,-0.12143670097918,0.903345148794795,NA
"GDF6|392255",15.4706643462099,4.97837591224255,0.916060220702844,5.43455091677588,5.49346094624746e-08,1.39382364284444e-06
"C9orf128|392307",0.879619431710606,-1.71307496808531,0.811994128207665,-2.109713492469,0.0348830416150028,0.0833558782161569
"OR13J1|392309",0.385533483286827,-0.544661491600807,1.03645353629597,-0.525504976853372,0.599232194475028,0.71410185393678
"CTSL3|392360",0.00632431064276238,-0.0269201078515209,10.1405667741761,-0.00265469459952431,0.997881862653288,NA
"OR13C2|392376",0.0283836256293881,-1.40721254756284,5.5144073150347,-0.255188357908593,0.798577622514994,NA
"OR1L6|392390",0.024959886140139,-0.554907976320499,6.66013086506849,-0.0833178788169041,0.933598784481274,NA
"OR5C1|392391",0.191360683937165,-1.7855011893932,1.51496558482613,-1.1785754127201,0.238567286953516,NA
"OR1K1|392392",0.259216613254539,-0.132375221828201,1.28459407699862,-0.103048289104281,0.917924645755649,NA
"LCN9|392399",0.00866159338422456,-1.19926656304498,10.1405639087994,-0.118264287255695,0.905858253413472,NA
"GLOD5|392465",0.769820119036555,0.575849344592799,1.1781015323089,0.488794326125881,0.624987315356918,0.734905905986225
"ARL13A|392509",0.895215063417536,1.15308859276272,1.02509755965545,1.12485741664461,0.260649459285726,0.391591539003669
"ELFN1|392617",527.408636483563,3.42565559186244,0.571007252637974,5.99932063215728,1.98144765677399e-09,7.99314246630648e-08
"TMEM195|392636",383.375915215854,9.61017042303751,1.11309523343606,8.63373603116729,5.93799424748618e-18,2.80075395339765e-15
"GRID2IP|392862",5.69158421504579,-0.222151705565976,0.62172707012202,-0.357313870091545,0.720856847615121,0.810325208499154
"OR2A5|393046",0.0858276099331408,-0.070710052404862,2.81652320551851,-0.0251054393112464,0.979970861607998,NA
"MUC21|394263",12.5741372880737,4.45755608269467,1.70518592381775,2.61411733490893,0.00894583085125582,0.0282892484973097
"SPRED3|399473",12.7498553504683,4.48231160916422,0.899401375711697,4.98366105524062,6.23923345451914e-07,1.08994016520304e-05
"TMEM200B|399474",269.24795775498,3.52259976045846,0.602965265583712,5.84212716971074,5.15384377145402e-09,1.79895552515933e-07
"SLC25A35|399512",348.385029040359,-0.404827493417876,0.259583600430701,-1.55952645986182,0.118871826972412,0.216735777297801
"MEX3D|399664",834.449119006669,1.76488012176777,0.269316084991996,6.553192401487,5.63198759136434e-11,3.58478933367291e-09
"FAM102A|399665",7036.14576005252,-0.2764714675226,0.290569119456507,-0.951482621552227,0.341359436319292,0.477441212826443
"NCRNA00086|399668",130.424317605914,2.28886030772653,0.541636739627552,4.22582173672418,2.38070405725089e-05,0.000227614610879054
"ZNF321|399669",56.987156536686,0.0109739720199321,0.333241002820602,0.0329310376785772,0.973729581724222,0.984687375168066
"RPL13AP17|399670",0.40126807206928,0.187236221707085,1.99570032096984,0.0938198083849055,0.925252296272422,0.954090251131297
"HEATR4|399671",5.0550223243653,1.08665162566313,0.462269645270051,2.35068782210072,0.018738747796506,0.0511806389553495
"MYO18A|399687",5792.88920030791,0.0493526595412561,0.229183459980436,0.215341279625803,0.829501247983081,0.889718685518879
"SHC4|399694",2530.18210828881,-0.791812068647004,0.477465088796406,-1.65836641720341,0.0972435306960266,0.186080801742787
"CTXN2|399697",3.03158934624959,1.60251452810517,0.750016955153701,2.13663773477863,0.03262746795778,0.0791170937362726
"NCRNA00200|399706",9.20905125135638,-6.11629315280551,2.1421829908876,-2.85516838609163,0.00430140166194939,0.0157586702990558
"FLJ45983|399717",1.51914868790167,-0.772127217387996,0.793335782518999,-0.97326659707235,0.330420819293552,0.466863120892917
"C10orf114|399726",86.9886319470484,-0.258755392460685,0.407886345524039,-0.634381109591312,0.52583213468756,0.652141677554446
"BMS1P5|399761",67.6503791956768,0.572400522412341,0.321192361387011,1.78211125551222,0.07473109068987,0.15114660948215
"C10orf120|399814",0.0344063469432968,-1.38258044513701,5.4668490887706,-0.252902617702939,0.800343466583527,NA
"LOC399815|399815",14.1705145689398,-1.14609534935914,0.557410344327037,-2.05610706909794,0.0397721970149463,0.0924099487293088
"METTL10|399818",358.480742677654,-0.374633199869306,0.216952997977998,-1.72679429812396,0.0842046128895653,0.166535195581502
"FOXI2|399823",3.80718865095438,-1.18056867867304,0.628859675582507,-1.87731655329862,0.0604747207952759,0.128572358302034
"FLJ45445|399844",38.954651973297,0.715849187162242,0.474994749139352,1.50706758013493,0.131793335723302,0.234734547892151
"FAM180B|399888",85.3421179402542,2.05261695715189,0.533748189014414,3.84566542687878,0.000120225719316203,0.000860578088169981
"PCNXL3|399909",4250.92590650293,0.489342000301692,0.181930962379373,2.68971259153396,0.00715135804292597,0.0237282163058483
"C11orf87|399947",1.54492326980807,1.85135854923729,1.06537941918783,1.73774574193354,0.0822556249417114,0.163364986599212
"C11orf92|399948",21.2940881938017,-1.02358957102867,0.627926033877418,-1.63011169437911,0.103077892559787,0.19499360691457
"C11orf88|399949",2.30437505223339,-1.21755342989882,0.652919976496909,-1.86478201575532,0.0622119651328518,0.131284900814334
"LOC399959|399959",1079.78357075368,-1.57981152583504,0.611022768292015,-2.58551989846642,0.00972322602646301,0.0303150411452182
"PATE2|399967",2.33295602682427,-1.32218422324573,0.551227219347469,-2.3986192568845,0.0164570165956384,0.0460281009999647
"PATE4|399968",0.534741633480957,1.03582780729624,0.882856187962446,1.17326901189518,0.240687944844442,0.369632221189974
"SNX19|399979",3485.24327808646,0.14879819020446,0.188571537407076,0.789080856265408,0.430064750074494,0.565566036972014
"LOC400027|400027",425.505253396894,-0.213731245643995,0.217195333151427,-0.984050819798156,0.325090526252458,0.461743512502044
"LOC400043|400043",580.320188274017,-1.26854553519705,0.427844422782415,-2.96496919825967,0.003027132366964,0.011872942407314
"C12orf76|400073",692.431592903874,-0.422009295401364,0.261630863802379,-1.61299507737025,0.10674557726722,0.200160459696128
"C13orf36|400120",3.71184394009858,0.160699989221035,1.66228526923965,0.0966741342143645,0.922985181502406,0.952767251051445
"C13orf35|400165",1.64029809935618,1.71582389254117,1.3959964658851,1.22910332115582,0.219033070119592,0.344309803866852
"UPF0639|400224",1.30716609177895,1.39279402400436,0.840152416105749,1.65778732204354,0.0973604011435512,0.186194799659195
"FLJ45244|400242",87.3361237203314,-0.245736477795553,0.332897378947488,-0.738174865096538,0.460408194655899,0.593809632827435
"C14orf180|400258",2.92565253930636,3.09094728328896,1.67529143001959,1.84502065008046,0.0650345347574395,0.136145472500637
"C15orf53|400359",1.34212562501033,-0.244532172628266,0.707626262946704,-0.345566841470783,0.729668269058561,0.8166868152925
"C15orf54|400360",5.46609363246457,1.67762777636738,0.716278881662102,2.34214328987964,0.0191733522104241,0.052134623109152
"ST20|400410",253.481516610304,0.127801008100391,0.279128895760723,0.457856603316146,0.647055466536456,0.752043047130733
"FAM174B|400451",2156.7019626708,2.68576645861282,0.430649627994012,6.2365465659944,4.47336197151618e-10,2.20020036005455e-08
"BCAR4|400500",0.547034012099657,0.474531659232403,1.1932120138137,0.397692659593432,0.690856748903754,0.786843532665751
"C16orf88|400506",1269.57327133058,0.628393876679332,0.167331934047452,3.75537329593723,0.0001730833072835,0.00116070872077024
"NCRNA00169|400508",12.0764936875998,1.88145735308147,0.388247103388502,4.84603062498261,1.25956081663055e-06,1.95194787042283e-05
"C17orf97|400566",240.190811505421,0.481368568124193,0.387679650868402,1.24166581105283,0.214359889214667,0.339079040511119
"MED11|400569",549.397797382456,-0.779227797735521,0.19989935272037,-3.89810065481075,9.69501200636018e-05,0.000722901280328316
"GRAPL|400581",7.87547906934585,-1.28768218197542,0.561891543781498,-2.29169169072984,0.0219234402398385,0.0581013806673143
"C17orf102|400591",0.299264281499181,-2.56358948329317,1.34089106842012,-1.9118551414573,0.0558947767863433,NA
"TEX19|400629",5.9308095526448,-0.493576952068906,0.626747761507219,-0.787520885406818,0.430977007210004,0.566151685183748
"LOC400657|400657",497.03267042922,-0.339765262925204,0.188038194349239,-1.80689494547138,0.0707786607983648,0.145050519762246
"PRSSL1|400668",1.20583293207844,-0.447223346493981,0.980566217063374,-0.456086839125804,0.648327533717771,0.753045714639034
"VMAC|400673",266.393668114415,-0.265359892087858,0.215232769181069,-1.23289726326301,0.217614096639166,0.342770005493718
"LOC400696|400696",38.3677740775369,-0.687965075548994,0.871628071898561,-0.789287423993221,0.429944035221033,0.565521668065134
"FLJ26850|400710",1.9844911973111,0.87672937353815,0.620272470574043,1.41345846403076,0.157520965900349,0.269063801246306
"ZNF880|400713",314.01678233498,-1.00700476355209,0.381001496456436,-2.6430467410703,0.00821636919483849,0.0264693715129692
"ZNF772|400720",408.106956264733,0.232284800960643,0.25570512867875,0.908408846396155,0.363662253593101,0.500491332847905
"PRAMEF4|400735",0.689883173551521,1.94415273160189,1.45699176423556,1.33436082435368,0.182085632516479,0.299878443442118
"PRAMEF13|400736",0.545508040805531,0.0438756460921786,4.07555666628567,0.0107655590842675,0.991410492535306,0.99464871653838
"SH2D5|400745",84.4056934291624,1.04980309618018,0.568248575816039,1.84743638762772,0.0646839195723905,0.135565762849963
"C1orf130|400746",20.8857854133774,2.13216004389269,0.825608892553459,2.58253037621518,0.00980787277334926,0.0305087464940518
"C1orf141|400757",0.095859956738562,0.24226422608309,3.56567753320445,0.0679433919155805,0.94583069678441,NA
"LOC400759|400759",95.130500696967,-1.1533967013677,0.679161379360807,-1.6982660328142,0.0894575625662972,0.17455944238963
"C1orf226|400793",314.897773401169,1.27155211325691,0.537252317152797,2.36676896992382,0.0179441302552437,0.0494209127182525
"LOC400794|400794",7.30655441754355,2.78134382751971,0.853124132391469,3.2601865565836,0.00111338954201351,0.00528980781420259
"C1orf220|400798",34.4650859866323,-1.51067108365532,0.391855343047368,-3.85517541219978,0.000115646678008033,0.00083457067161937
"LOC400804|400804",5.48024557027109,2.88791836022764,0.974701085791473,2.96287590352134,0.00304779415815395,0.0119361663911522
